dialog,narration,img_id,dialog_bounding_boxes,narration_bounding_boxes,face_bounding_boxes,argument
"[""death will be swift, zuni! that disguise can neither hide you nor spare you!"", ""keep him at bay, cousin! i'm almost ready!"", ""that's small comfort, dolt! he's tearing my arms off!""]",[],bp_0_108_3,"[[5.0, 3.0, 154.0, 107.0], [174.0, 2.0, 294.0, 88.0], [299.0, 1.0, 429.0, 93.0]]",[],"[[24.0, 107.0, 107.0, 187.0], [214.0, 85.0, 269.0, 143.0], [333.0, 80.0, 419.0, 147.0]]","The character is angry or betrayed because the dialogue and narration mention ""death will be swift, zuni! that disguise can neither hide you nor spare you!"" and suggest death, swift, zuni, disguise, hide."
"[""joshua itobo, are you injured?"", ""it seems impossible that any of us should have survived!""]",['a moment of stunned silence follows the fading echoes of violence...'],bp_0_109_4,"[[9.0, 51.0, 193.0, 94.0], [206.0, 52.0, 418.0, 123.0]]","[[3.0, 7.0, 433.0, 45.0]]","[[-1.0, -1.0, -1.0, -1.0], [358.0, 112.0, 435.0, 208.0]]","The character is neutral because the dialogue and narration mention ""joshua itobo, are you injured?"" and suggest joshua, itobo, injured, moment, stunned."
"[""but we did!your plan was perfection itself!"", ""it was an act of madness, carried out by four unfit for battle!"", ""you mean four of will and courage!""]",[],bp_0_109_5,"[[2.0, 7.0, 153.0, 78.0], [171.0, 8.0, 309.0, 127.0], [318.0, 19.0, 432.0, 98.0]]",[],"[[62.0, 83.0, 128.0, 144.0], [154.0, 113.0, 212.0, 186.0], [354.0, 108.0, 415.0, 169.0]]","The character is neutral because the dialogue and narration mention ""but we did!your plan was perfection itself!"" and suggest plan, perfection."
"[""he can't keep his eye on all off us!!pick him off with a careful shot!!"", ""he moves like a jungle cat, highness, but i'll do my best!""]",[],bp_0_10_5,"[[3.0, 2.0, 226.0, 88.0], [254.0, 4.0, 449.0, 84.0]]",[],"[[31.0, 145.0, 182.0, 347.0], [233.0, 115.0, 433.0, 270.0]]","The character is neutral because the dialogue and narration mention ""he can't keep his eye on all off us!!pick him off with a careful shot!!"" and suggest eye, careful, shot."
"[""i don't know what possessed me to call upon the ruling family in this crisis! look at these expenditures! costumes-- smoke guns-- chemicals-- adhesive--"", ""they've been very secretive these past days.""]","[""meanwhile, in the administrative office of n'gassi, who governs in t'challa's absence...""]",bp_0_110_0,"[[5.0, 70.0, 234.0, 260.0], [263.0, 51.0, 430.0, 111.0]]","[[3.0, 5.0, 433.0, 67.0]]","[[194.0, 129.0, 236.0, 178.0], [369.0, 105.0, 419.0, 158.0]]","The character is angry or betrayed because the dialogue and narration mention ""i don't know what possessed me to call upon the ruling family in this crisis! look at these expenditures! costumes-- smoke guns-- chemicals-- adhesive--"" and suggest know, possessed, ruling, family, crisis."
"[""how i wish for his swift return!"", ""there has been fighting in the streets! perhaps the militia has finally finished jakarra!"", ""we'd have had the news at this hour, noble one...""]",[],bp_0_110_4,"[[9.0, 3.0, 187.0, 43.0], [13.0, 59.0, 189.0, 151.0], [243.0, 5.0, 363.0, 85.0]]",[],"[[260.0, 163.0, 321.0, 225.0], [259.0, 162.0, 319.0, 218.0], [348.0, 83.0, 386.0, 139.0]]","The character is neutral because the dialogue and narration mention ""how i wish for his swift return!"" and suggest wish, swift, return."
"[""wrong, n'gassi! your unlikely candidates for t'challa's job have done his work!"", ""we are proud to say that the task was accomplished with high risk and minimal injury."", ""joshus itobo refers to my backside... it's really too well padded to suffer badly in a fall!"", ""in short, you old leopard.. we've brought in jakarra! and put an end to his rampage!""]",[],bp_0_111_0,"[[4.0, 2.0, 247.0, 114.0], [252.0, 61.0, 451.0, 179.0], [451.0, 5.0, 693.0, 119.0], [706.0, 7.0, 879.0, 141.0]]",[],"[[107.0, 77.0, 236.0, 234.0], [285.0, 219.0, 408.0, 339.0], [486.0, 105.0, 594.0, 220.0], [727.0, 130.0, 853.0, 261.0]]","The character is neutral because the dialogue and narration mention ""wrong, n'gassi! your unlikely candidates for t'challa's job have done his work!"" and suggest wrong, unlikely, candidates, job, work."
"[""behold, wise one! the riddle of jakarra is now ours to solve without danger to others!"", ""there's only one way to solve this! he must be destroyed at once--!""]",[],bp_0_111_3,"[[0.0, 2.0, 203.0, 104.0], [241.0, 11.0, 428.0, 89.0]]",[],"[[92.0, 167.0, 157.0, 240.0], [249.0, 133.0, 349.0, 222.0]]","The character is angry or betrayed because the dialogue and narration mention ""behold, wise one! the riddle of jakarra is now ours to solve without danger to others!"" and suggest behold, wise, riddle, jakarra, solve."
"[""it's the rulling family--!"", ""optimists! they greet the panther in triumph not yet achieved!""]",['suddenly upon entering...'],bp_0_111_4,"[[10.0, 61.0, 107.0, 123.0], [283.0, 4.0, 415.0, 110.0]]","[[3.0, 2.0, 164.0, 41.0]]","[[5.0, 144.0, 79.0, 361.0], [295.0, 238.0, 428.0, 430.0]]","The character is neutral because the dialogue and narration mention ""it's the rulling family--!"" and suggest rulling, suddenly, entering."
"[""you mean he isn't on of us? but, that costume?"", ""costume, shmostume! i found him crawlong in the desert -- almost dying of fatigue!"", ""that goes double for his friend--the guy's not only dehydrated but wounded as well."", ""poor man! drink some more of this cold milk--it's very refreshing..."", ""thank you, miss... you're very kind...""]","['meanwhile, in the area known as the sudan...']",bp_0_112_0,"[[6.0, 52.0, 196.0, 108.0], [243.0, 38.0, 480.0, 107.0], [635.0, 5.0, 864.0, 75.0], [716.0, 83.0, 878.0, 200.0], [755.0, 470.0, 887.0, 530.0]]","[[6.0, 6.0, 242.0, 47.0]]","[[73.0, 122.0, 200.0, 273.0], [227.0, 137.0, 348.0, 229.0], [514.0, 23.0, 605.0, 127.0], [645.0, 163.0, 742.0, 284.0], [522.0, 371.0, 625.0, 479.0]]","The character is angry or betrayed because the dialogue and narration mention ""you mean he isn't on of us? but, that costume?"" and suggest mean, costume, area, known, sudan."
"[""but, we've been instucted to keep you here!why not relax and watch us shoot this film."", ""by the sacred panther --you've created another world in this desert!it's fantactic!""]",[],bp_0_113_4,"[[2.0, 4.0, 310.0, 70.0], [197.0, 84.0, 392.0, 179.0]]",[],"[[-1.0, -1.0, -1.0, -1.0], [48.0, 86.0, 424.0, 418.0]]","The character is angry or betrayed because the dialogue and narration mention ""but, we've been instucted to keep you here!why not relax and watch us shoot this film."" and suggest instucted, relax, watch, shoot, film."
"[""as you can see, we lean heavily on costumes and specialized equipment!"", ""i like your fleet of trucks and jeeps. that's a fair-sized motor pool.""]",[],bp_0_114_1,"[[25.0, 2.0, 206.0, 92.0], [254.0, 6.0, 429.0, 86.0]]",[],"[[105.0, 101.0, 152.0, 142.0], [209.0, 90.0, 244.0, 130.0]]","The character is neutral because the dialogue and narration mention ""as you can see, we lean heavily on costumes and specialized equipment!"" and suggest lean, heavily, costumes, specialized, equipment."
"[""jiru merely voices my own fears! this is not a common patient-- but an unknown force of mounting power!"", ""that's true... there are definite signs of a rising energy level!"", ""don't you see? jakarra is no longer human!""]",[],bp_0_116_0,"[[7.0, 5.0, 163.0, 159.0], [190.0, 4.0, 410.0, 73.0], [263.0, 62.0, 433.0, 139.0]]",[],"[[29.0, 179.0, 125.0, 315.0], [142.0, 129.0, 283.0, 282.0], [315.0, 130.0, 419.0, 256.0]]","The character is angry or betrayed because the dialogue and narration mention ""jiru merely voices my own fears! this is not a common patient-- but an unknown force of mounting power!"" and suggest jiru, merely, voices, fears, common."
"[""i say destroy him before he regains his senses!"", ""you forget that i'm a doctor, n'gassi! i cannot take a life!"", ""let him live--and we all die!""]",['at that very moment...'],bp_0_116_4,"[[6.0, 35.0, 161.0, 105.0], [257.0, 19.0, 430.0, 107.0], [270.0, 110.0, 432.0, 154.0]]","[[5.0, 2.0, 245.0, 30.0]]","[[12.0, 112.0, 60.0, 161.0], [201.0, 108.0, 252.0, 159.0], [324.0, 133.0, 382.0, 190.0]]","The character is neutral because the dialogue and narration mention ""i say destroy him before he regains his senses!"" and suggest destroy, regains, senses, moment."
"[""mighty t'challa would never have staked the lives of his people on such a foolish hope!"", ""we must prepare for possible disaster!"", ""i believe you're overdramatizing the risks, n'gassi! i'll keep him under control until a cure is found.""]",[],bp_0_117_2,"[[3.0, 3.0, 206.0, 94.0], [98.0, 103.0, 210.0, 202.0], [217.0, 6.0, 428.0, 110.0]]",[],"[[216.0, 206.0, 252.0, 260.0], [218.0, 206.0, 253.0, 262.0], [280.0, 225.0, 319.0, 261.0]]","The character is neutral because the dialogue and narration mention ""mighty t'challa would never have staked the lives of his people on such a foolish hope!"" and suggest mighty, staked, lives, people, foolish."
"[""i didn't expect this kind of pursuit...but it may be more to my advantage than thiers.""]",[],bp_0_119_3,"[[15.0, 1.0, 318.0, 75.0]]",[],"[[263.0, 56.0, 351.0, 137.0]]","The character is neutral because the dialogue and narration mention ""i didn't expect this kind of pursuit...but it may be more to my advantage than thiers."" and suggest expect, kind, pursuit, advantage, thiers."
"[""i am your prisoner! come and get me!""]",[],bp_0_119_5,"[[84.0, 8.0, 208.0, 80.0]]",[],"[[110.0, 108.0, 150.0, 154.0]]","The character is neutral because the dialogue and narration mention ""i am your prisoner! come and get me!"" and suggest prisoner, come."
"[""sorry about this!""]","['risking swift disintegration, the black panther leaps outward and strikes hard with unmatched speed!']",bp_0_11_2,"[[6.0, 138.0, 77.0, 214.0]]","[[5.0, 5.0, 423.0, 114.0]]","[[80.0, 154.0, 164.0, 228.0]]","The character is remorseful because the dialogue and narration mention ""sorry about this!"" and suggest sorry, risking, swift, disintegration, black."
"[""surrender to us! you're our prisoner!"", ""that remains to be seen, gentlemen--"", ""if the sudanese authorities want me for questioning, they'll have to wait for a more favorable time!"", ""don't be a fool! we can shoot you for resisting arrest!""]","['and, it is written in the sacred records of the wakandas, that there will come a day when a self-defiled creature of power shall enter the great vibranium mound and cause a never-ending sound of doom! on that day--']",bp_0_120_0,"[[76.0, 283.0, 286.0, 396.0], [350.0, 236.0, 517.0, 308.0], [532.0, 235.0, 680.0, 420.0], [758.0, 572.0, 875.0, 738.0]]","[[13.0, 11.0, 873.0, 69.0]]","[[13.0, 423.0, 100.0, 500.0], [331.0, 378.0, 422.0, 520.0], [329.0, 377.0, 419.0, 518.0], [551.0, 524.0, 701.0, 658.0]]","The character is happy because the dialogue and narration mention ""surrender to us! you're our prisoner!"" and suggest surrender, prisoner, written, sacred, records."
"[""to shot the black panther is to strike at the wind!""]",[],bp_0_121_2,"[[5.0, 5.0, 177.0, 97.0]]",[],"[[104.0, 89.0, 183.0, 203.0]]","The character is neutral because the dialogue and narration mention ""to shot the black panther is to strike at the wind!"" and suggest shot, black, panther, strike, wind."
"[""those two will blister the air with some choice phrases when they awaken!"", ""but i'll be well out of earshot when that moment comes!""]",[],bp_0_122_5,"[[4.0, 7.0, 181.0, 107.0], [266.0, 9.0, 420.0, 104.0]]",[],"[[222.0, 17.0, 289.0, 104.0], [222.0, 15.0, 287.0, 101.0]]","The character is neutral because the dialogue and narration mention ""those two will blister the air with some choice phrases when they awaken!"" and suggest blister, air, choice, phrases, awaken."
"[""he's gone! jakarra's broken out of his fortified chamber!"", ""the cursed one has the power of fifty men!"", ""i tried to warn the rulling family! but, they wouldn't listen!"", ""their disdain for the old ways have opened the door to disaster! i pray that we have the force to stop this demon!"", ""the militia will do its best!""]","['meanwhile, in the hidden domain of the panther cult...']",bp_0_123_0,"[[7.0, 51.0, 226.0, 129.0], [8.0, 132.0, 154.0, 206.0], [367.0, 3.0, 581.0, 75.0], [618.0, 2.0, 866.0, 104.0], [790.0, 91.0, 868.0, 190.0]]","[[6.0, 6.0, 308.0, 47.0]]","[[262.0, 54.0, 321.0, 109.0], [99.0, 166.0, 247.0, 384.0], [380.0, 81.0, 438.0, 153.0], [541.0, 69.0, 603.0, 131.0], [690.0, 102.0, 787.0, 228.0]]","The character is neutral because the dialogue and narration mention ""he's gone! jakarra's broken out of his fortified chamber!"" and suggest gone, jakarra, broken, fortified, chamber."
"[""we should have disobeyed the ruling family and des-troyed that thing while it was in our hands! we should have destroyed it--!"", ""it's too late for hindsight,jiru!""]",[],bp_0_123_2,"[[0.0, 3.0, 316.0, 105.0], [317.0, 4.0, 426.0, 100.0]]",[],"[[5.0, 107.0, 177.0, 322.0], [184.0, 154.0, 428.0, 414.0]]","The character is neutral because the dialogue and narration mention ""we should have disobeyed the ruling family and des-troyed that thing while it was in our hands! we should have destroyed it--!"" and suggest disobeyed, ruling, family, des, troyed."
"[""stand by me, lady luck! a man needs you most when the road ahead looks clear!""]",[],bp_0_123_4,"[[204.0, 7.0, 392.0, 106.0]]",[],"[[133.0, 85.0, 287.0, 254.0]]","The character is neutral because the dialogue and narration mention ""stand by me, lady luck! a man needs you most when the road ahead looks clear!"" and suggest stand, lady, luck, man, needs."
"[""no--not its slave--but its brother! he goes to become \""one\"" with the great mound!"", ""t'challa save us! that mustn't happen!"", ""if he reaches it, the ancient warnings will come to pass!""]",[],bp_0_124_3,"[[7.0, 1.0, 180.0, 153.0], [234.0, 2.0, 423.0, 65.0], [310.0, 65.0, 430.0, 185.0]]",[],"[[-1.0, -1.0, -1.0, -1.0], [249.0, 219.0, 298.0, 270.0], [381.0, 207.0, 432.0, 270.0]]","The character is angry or betrayed because the dialogue and narration mention ""no--not its slave--but its brother! he goes to become ""one"" with the great mound!"" and suggest slave, brother, goes, great, mound."
"[""when i gave the order to isolate jakarra for study, i knew there were risks involved --"", ""-- but to kill him would've violated my oath as a doctor!"", ""did you also consider yout duty as a member of the ruling family?""]",[],bp_0_125_1,"[[4.0, 4.0, 210.0, 119.0], [4.0, 122.0, 260.0, 191.0], [214.0, 6.0, 423.0, 104.0]]",[],"[[136.0, 222.0, 189.0, 267.0], [134.0, 224.0, 189.0, 269.0], [267.0, 109.0, 421.0, 394.0]]","The character is neutral because the dialogue and narration mention ""when i gave the order to isolate jakarra for study, i knew there were risks involved --"" and suggest gave, order, isolate, jakarra, study."
"[""the vibranium change has given jakarra a new advantage! he's invulnerable to our weapons!"", ""and that's not the only change!watch his hands!"", ""his palms are glowing like white got coals!""]",[],bp_0_125_3,"[[10.0, 5.0, 294.0, 84.0], [134.0, 87.0, 284.0, 192.0], [300.0, 2.0, 427.0, 84.0]]",[],"[[-1.0, -1.0, -1.0, -1.0], [-1.0, -1.0, -1.0, -1.0], [-1.0, -1.0, -1.0, -1.0]]","The character is neutral because the dialogue and narration mention ""the vibranium change has given jakarra a new advantage! he's invulnerable to our weapons!"" and suggest vibranium, change, given, jakarra, new."
"[""from an intensive study of microscopic samples of jakarra's tissue, i was able to make a chemical breakdown of the vibranium infection!""]",[],bp_0_126_1,"[[157.0, 5.0, 429.0, 129.0]]",[],"[[6.0, 7.0, 151.0, 142.0]]","The character is neutral because the dialogue and narration mention ""from an intensive study of microscopic samples of jakarra's tissue, i was able to make a chemical breakdown of the vibranium infection!"" and suggest intensive, study, microscopic, samples, jakarra."
"[""you're also ruling panthers! --and despite this fact, you must move while hope remains!"", ""that's the good news! we've got one slim chance to avert this catastrophe: my anti-sonic toxin!!""]",[],bp_0_126_3,"[[4.0, 6.0, 205.0, 124.0], [217.0, 3.0, 420.0, 151.0]]",[],"[[15.0, 138.0, 129.0, 293.0], [192.0, 143.0, 388.0, 364.0]]","The character is neutral because the dialogue and narration mention ""you're also ruling panthers! --and despite this fact, you must move while hope remains!"" and suggest ruling, panthers, despite, fact, hope."
"[""open your granite jaws, great pather! -- and take a wandering cub to the safety of your heart!""]","[""t'challa transmits a radio signal on a frequency given only to wakandan pilots...""]",bp_0_128_3,"[[3.0, 96.0, 199.0, 240.0]]","[[2.0, 5.0, 246.0, 81.0]]","[[139.0, 279.0, 151.0, 287.0]]","The character is happy because the dialogue and narration mention ""open your granite jaws, great pather! -- and take a wandering cub to the safety of your heart!"" and suggest open, granite, jaws, great, pather."
"[""keep moving!keep moving!the militia must have room to maneuver!"", ""they'll never stop jakarra!"", ""hurry, children!he's comming this way"", ""the black panther should be here!where is he when his people have need of his mighty arm!??""]","[""but t'challa is unaware of the desperate situation that lies before him...""]",bp_0_129_0,"[[4.0, 52.0, 186.0, 142.0], [202.0, 124.0, 343.0, 181.0], [384.0, 45.0, 500.0, 166.0], [610.0, 7.0, 848.0, 93.0]]","[[2.0, 3.0, 459.0, 45.0]]","[[43.0, 148.0, 104.0, 196.0], [226.0, 191.0, 256.0, 219.0], [384.0, 157.0, 442.0, 224.0], [519.0, 169.0, 563.0, 211.0]]","The character is angry or betrayed because the dialogue and narration mention ""keep moving!keep moving!the militia must have room to maneuver!"" and suggest militia, room, maneuver, unaware, desperate."
"[""never mind those civilians! get the special squad up here on the double!"", ""they're ready! stand back-- let them do their job!""]",[],bp_0_129_1,"[[7.0, 5.0, 225.0, 104.0], [233.0, 3.0, 431.0, 104.0]]",[],"[[-1.0, -1.0, -1.0, -1.0], [312.0, 137.0, 432.0, 307.0]]","The character is neutral because the dialogue and narration mention ""never mind those civilians! get the special squad up here on the double!"" and suggest mind, civilians, special, squad, double."
"[""very well! you've taken the gun! now use it! use it on him before it's too late!!"", ""no!we've got to face this as civilized human beings!""]",[],bp_0_12_0,"[[12.0, 10.0, 292.0, 124.0], [365.0, 11.0, 565.0, 103.0]]",[],"[[92.0, 173.0, 275.0, 379.0], [329.0, 116.0, 550.0, 353.0]]","The character is angry or betrayed because the dialogue and narration mention ""very well! you've taken the gun! now use it! use it on him before it's too late!!"" and suggest taken, gun, use, use, late."
"[""you must be joking! he looks upon us as we regard pet monkeys!"", ""it's a gap we'll have to narrow somehow! we've got to send him back to his own time!"", ""and there is only one way to do it!""]",[],bp_0_12_2,"[[10.0, 10.0, 240.0, 131.0], [305.0, 6.0, 568.0, 161.0], [292.0, 152.0, 530.0, 244.0]]",[],"[[-1.0, -1.0, -1.0, -1.0], [3.0, 168.0, 575.0, 578.0], [3.0, 172.0, 575.0, 578.0]]","The character is neutral because the dialogue and narration mention ""you must be joking! he looks upon us as we regard pet monkeys!"" and suggest joking, looks, regard, pet, monkeys."
"[""it's a man, all right!--a man from the \""sixth era\""-- wherever that may be in time!"", ""he's man as he will be in the far distant future -- all brain!"", ""then, that's the spot to shoot at!""]",[],bp_0_12_3,"[[20.0, 2.0, 492.0, 82.0], [226.0, 96.0, 412.0, 266.0], [437.0, 62.0, 575.0, 163.0]]",[],"[[80.0, 101.0, 229.0, 319.0], [85.0, 105.0, 230.0, 319.0], [415.0, 202.0, 482.0, 276.0]]","The character is neutral because the dialogue and narration mention ""it's a man, all right!--a man from the ""sixth era""-- wherever that may be in time!"" and suggest man, man, sixth, time."
"[""t'challa--! it's t'challa!"", ""i'll take over now!"", ""but what are you going to do?"", ""we want to help!""]",['suddenly...'],bp_0_131_0,"[[31.0, 36.0, 181.0, 118.0], [491.0, 9.0, 602.0, 44.0], [669.0, 10.0, 797.0, 58.0], [812.0, 11.0, 871.0, 78.0]]","[[5.0, 6.0, 133.0, 34.0]]","[[216.0, 41.0, 268.0, 96.0], [387.0, 23.0, 455.0, 112.0], [652.0, 33.0, 694.0, 86.0], [787.0, 61.0, 830.0, 121.0]]","The character is neutral because the dialogue and narration mention ""t'challa--! it's t'challa!"" and suggest suddenly."
"[""you know what will happen if he reaches the mound!"", ""i know what will happen if we reach him!"", ""well, we can't stay here and do nothing!""]",[],bp_0_131_1,"[[10.0, 10.0, 128.0, 92.0], [138.0, 10.0, 270.0, 75.0], [295.0, 6.0, 440.0, 79.0]]",[],"[[13.0, 217.0, 103.0, 307.0], [101.0, 134.0, 175.0, 201.0], [302.0, 53.0, 346.0, 88.0]]","The character is angry or betrayed because the dialogue and narration mention ""you know what will happen if he reaches the mound!"" and suggest know, happen, reaches, mound."
"[""you took the injector! return it to me, t'challa!only i can use it properly--!"", ""wrong, cousin! n'gassi briefed me on what you were up to!""]",[],bp_0_131_2,"[[2.0, 3.0, 167.0, 134.0], [173.0, 3.0, 387.0, 87.0]]",[],"[[-1.0, -1.0, -1.0, -1.0], [232.0, 65.0, 291.0, 142.0]]","The character is neutral because the dialogue and narration mention ""you took the injector! return it to me, t'challa!only i can use it properly--!"" and suggest took, injector, return, use."
"[""now he's no longer human! a deadly thing to be dealt with at great risk!""]",[],bp_0_132_4,"[[2.0, 5.0, 181.0, 126.0]]",[],"[[178.0, 124.0, 248.0, 206.0]]","The character is angry or betrayed because the dialogue and narration mention ""now he's no longer human! a deadly thing to be dealt with at great risk!"" and suggest longer, human, deadly, thing, dealt."
"[""a giant shock wave will come next!""]",[],bp_0_133_1,"[[299.0, 96.0, 422.0, 213.0]]",[],"[[-1.0, -1.0, -1.0, -1.0]]","The character is neutral because the dialogue and narration mention ""a giant shock wave will come next!"" and suggest giant, shock, wave, come."
"[""i've got to--ugh!""]",[],bp_0_133_4,"[[50.0, 16.0, 180.0, 70.0]]",[],"[[62.0, 103.0, 155.0, 200.0]]","The character is neutral because the dialogue and narration mention ""i've got to--ugh!"" and suggest got, ugh."
"[""spirits of the ancestors-- one would almost think he wanted to be assaulted!""]",[],bp_0_136_0,"[[0.0, 2.0, 203.0, 37.0]]",[],"[[71.0, 59.0, 135.0, 158.0]]","The character is neutral because the dialogue and narration mention ""spirits of the ancestors-- one would almost think he wanted to be assaulted!"" and suggest spirits, think, wanted, assaulted."
"[""all right, mister--turn around, slow. we don't wanna hurt ya, we only want your money."", ""c'mon, man-- hand it over!"", ""hey, levon-- the dude look like he want to put up a fight!"", ""young jackals, i have something to give you-- but it isn't money!""]",[],bp_0_137_0,"[[3.0, 2.0, 194.0, 81.0], [552.0, 4.0, 677.0, 43.0], [699.0, 7.0, 867.0, 74.0], [166.0, 357.0, 388.0, 430.0]]",[],"[[-1.0, -1.0, -1.0, -1.0], [-1.0, -1.0, -1.0, -1.0], [594.0, 131.0, 646.0, 187.0], [159.0, 111.0, 204.0, 163.0]]","The character is neutral because the dialogue and narration mention ""all right, mister--turn around, slow. we don't wanna hurt ya, we only want your money."" and suggest right, mister, turn, slow, wanna."
"[""-- yes! klaw, the master of sound..my oldest and most deadly foe!"", ""there's not a mark on him-- but he seems to be in a coma!"", ""that's not logical though.klaw can't be harmed by a mere gunshot!""]",[],bp_0_138_2,"[[4.0, 3.0, 155.0, 119.0], [6.0, 108.0, 148.0, 246.0], [233.0, 313.0, 432.0, 423.0]]",[],"[[-1.0, -1.0, -1.0, -1.0], [-1.0, -1.0, -1.0, -1.0], [-1.0, -1.0, -1.0, -1.0]]","The character is happy because the dialogue and narration mention ""-- yes! klaw, the master of sound..my oldest and most deadly foe!"" and suggest yes, klaw, master, sound, oldest."
