img_id,dialog,narration,dialog_bounding_boxes,narration_bounding_boxes,face_bounding_boxes,tag,sentiment,subjectivity
bp_0_101_0,jakarra!,['suddenly...'],"[[112.0, 230.0, 208.0, 304.0], [624.0, 2.0, 816.0, 31.0], [778.0, 36.0, 885.0, 69.0]]","[[5.0, 4.0, 139.0, 31.0]]","[[0.0, 207.0, 106.0, 329.0], [344.0, 24.0, 439.0, 152.0], [779.0, 102.0, 837.0, 170.0]]",NOT_CLASSIFIABLE,0.0,0.0
bp_0_101_1,b-but this can't be jakarra --not this repellent creature!!,[],"[[5.0, 4.0, 126.0, 107.0], [140.0, 8.0, 252.0, 90.0], [59.0, 118.0, 224.0, 199.0]]",[],"[[23.0, 268.0, 68.0, 333.0], [260.0, 5.0, 435.0, 402.0], [97.0, 236.0, 141.0, 295.0]]",INFORM,-1.0,1.0
bp_0_101_1,"you see me as vibranium made me, zuni!",[],"[[5.0, 4.0, 126.0, 107.0], [140.0, 8.0, 252.0, 90.0], [59.0, 118.0, 224.0, 199.0]]",[],"[[23.0, 268.0, 68.0, 333.0], [260.0, 5.0, 435.0, 402.0], [97.0, 236.0, 141.0, 295.0]]",INFORM,0.0,0.0
bp_0_101_1,"n'gassi told the truth! you won't stop him with band-aids, doctor!",[],"[[5.0, 4.0, 126.0, 107.0], [140.0, 8.0, 252.0, 90.0], [59.0, 118.0, 224.0, 199.0]]",[],"[[23.0, 268.0, 68.0, 333.0], [260.0, 5.0, 435.0, 402.0], [97.0, 236.0, 141.0, 295.0]]",INFORM,0.0,0.0
bp_0_102_1,wow... some smart alec is projecting hundred of images. my spider webs can't catch what's not real... but how to tell which is the real villain?,[],"[[6.0, 5.0, 460.0, 88.0]]",[],"[[118.0, 76.0, 157.0, 118.0]]",,0.10357142857142856,0.5607142857142857
bp_0_104_3,i'd still be airborne and in sight of wakanda territory if i hadn't chanced upon this spoiler!,['*last issue-- jack.'],"[[2.0, 6.0, 232.0, 98.0], [274.0, 12.0, 420.0, 117.0]]","[[117.0, 403.0, 342.0, 433.0]]","[[138.0, 147.0, 202.0, 229.0], [141.0, 148.0, 202.0, 227.0]]",INFORM,0.0,0.0
bp_0_104_3,he caused the wreck of my helicopter!*,['*last issue-- jack.'],"[[2.0, 6.0, 232.0, 98.0], [274.0, 12.0, 420.0, 117.0]]","[[117.0, 403.0, 342.0, 433.0]]","[[138.0, 147.0, 202.0, 229.0], [141.0, 148.0, 202.0, 227.0]]",INFORM,0.0,0.0
bp_0_105_1,"yet, who will fight harder for his life than the wakandan warrior...though his body is taken from him cell by cell, his spirit yields no ground to the demons of darkness!",[],"[[27.0, 5.0, 420.0, 90.0]]",[],"[[114.0, 120.0, 254.0, 246.0]]",,-0.125,0.0
bp_0_107_4,don't scoff at a clown until you catch his entire act!,[],"[[3.0, 5.0, 160.0, 110.0], [196.0, 10.0, 432.0, 102.0]]",[],"[[-1.0, -1.0, -1.0, -1.0], [256.0, 200.0, 393.0, 304.0]]",INFORM,0.0,0.625
bp_0_107_4,devious dog! i'll crush you and that device to pulp!,[],"[[3.0, 5.0, 160.0, 110.0], [196.0, 10.0, 432.0, 102.0]]",[],"[[-1.0, -1.0, -1.0, -1.0], [256.0, 200.0, 393.0, 304.0]]",,0.0,0.0
bp_0_108_3,"death will be swift, zuni! that disguise can neither hide you nor spare you!",[],"[[5.0, 3.0, 154.0, 107.0], [174.0, 2.0, 294.0, 88.0], [299.0, 1.0, 429.0, 93.0]]",[],"[[24.0, 107.0, 107.0, 187.0], [214.0, 85.0, 269.0, 143.0], [333.0, 80.0, 419.0, 147.0]]",,0.0,0.0
bp_0_108_3,"keep him at bay, cousin! i'm almost ready!",[],"[[5.0, 3.0, 154.0, 107.0], [174.0, 2.0, 294.0, 88.0], [299.0, 1.0, 429.0, 93.0]]",[],"[[24.0, 107.0, 107.0, 187.0], [214.0, 85.0, 269.0, 143.0], [333.0, 80.0, 419.0, 147.0]]",,0.25,0.5
bp_0_108_3,"that's small comfort, dolt! he's tearing my arms off!",[],"[[5.0, 3.0, 154.0, 107.0], [174.0, 2.0, 294.0, 88.0], [299.0, 1.0, 429.0, 93.0]]",[],"[[24.0, 107.0, 107.0, 187.0], [214.0, 85.0, 269.0, 143.0], [333.0, 80.0, 419.0, 147.0]]",,-0.390625,0.4
bp_0_109_4,"joshua itobo, are you injured?",['a moment of stunned silence follows the fading echoes of violence...'],"[[9.0, 51.0, 193.0, 94.0], [206.0, 52.0, 418.0, 123.0]]","[[3.0, 7.0, 433.0, 45.0]]","[[-1.0, -1.0, -1.0, -1.0], [358.0, 112.0, 435.0, 208.0]]",YES-NO_QUESTION,0.0,0.0
bp_0_109_4,it seems impossible that any of us should have survived!,['a moment of stunned silence follows the fading echoes of violence...'],"[[9.0, 51.0, 193.0, 94.0], [206.0, 52.0, 418.0, 123.0]]","[[3.0, 7.0, 433.0, 45.0]]","[[-1.0, -1.0, -1.0, -1.0], [358.0, 112.0, 435.0, 208.0]]",FEEDBACK,-0.8333333333333333,1.0
bp_0_109_5,but we did!your plan was perfection itself!,[],"[[2.0, 7.0, 153.0, 78.0], [171.0, 8.0, 309.0, 127.0], [318.0, 19.0, 432.0, 98.0]]",[],"[[62.0, 83.0, 128.0, 144.0], [154.0, 113.0, 212.0, 186.0], [354.0, 108.0, 415.0, 169.0]]",,0.0,0.0
bp_0_109_5,"it was an act of madness, carried out by four unfit for battle!",[],"[[2.0, 7.0, 153.0, 78.0], [171.0, 8.0, 309.0, 127.0], [318.0, 19.0, 432.0, 98.0]]",[],"[[62.0, 83.0, 128.0, 144.0], [154.0, 113.0, 212.0, 186.0], [354.0, 108.0, 415.0, 169.0]]",INFORM,0.0,0.0
bp_0_109_5,you mean four of will and courage!,[],"[[2.0, 7.0, 153.0, 78.0], [171.0, 8.0, 309.0, 127.0], [318.0, 19.0, 432.0, 98.0]]",[],"[[62.0, 83.0, 128.0, 144.0], [154.0, 113.0, 212.0, 186.0], [354.0, 108.0, 415.0, 169.0]]",INFORM,-0.390625,0.6875
bp_0_10_5,he can't keep his eye on all off us!!pick him off with a careful shot!!,[],"[[3.0, 2.0, 226.0, 88.0], [254.0, 4.0, 449.0, 84.0]]",[],"[[31.0, 145.0, 182.0, 347.0], [233.0, 115.0, 433.0, 270.0]]",,-0.15625,1.0
bp_0_10_5,"he moves like a jungle cat, highness, but i'll do my best!",[],"[[3.0, 2.0, 226.0, 88.0], [254.0, 4.0, 449.0, 84.0]]",[],"[[31.0, 145.0, 182.0, 347.0], [233.0, 115.0, 433.0, 270.0]]",FEEDBACK,1.0,0.3
bp_0_110_0,i don't know what possessed me to call upon the ruling family in this crisis! look at these expenditures! costumes-- smoke guns-- chemicals-- adhesive--,"[""meanwhile, in the administrative office of n'gassi, who governs in t'challa's absence...""]","[[5.0, 70.0, 234.0, 260.0], [263.0, 51.0, 430.0, 111.0]]","[[3.0, 5.0, 433.0, 67.0]]","[[194.0, 129.0, 236.0, 178.0], [369.0, 105.0, 419.0, 158.0]]",,0.0,0.0
bp_0_110_0,they've been very secretive these past days.,"[""meanwhile, in the administrative office of n'gassi, who governs in t'challa's absence...""]","[[5.0, 70.0, 234.0, 260.0], [263.0, 51.0, 430.0, 111.0]]","[[3.0, 5.0, 433.0, 67.0]]","[[194.0, 129.0, 236.0, 178.0], [369.0, 105.0, 419.0, 158.0]]",INFORM,-0.024999999999999994,0.275
bp_0_110_4,how i wish for his swift return!,[],"[[9.0, 3.0, 187.0, 43.0], [13.0, 59.0, 189.0, 151.0], [243.0, 5.0, 363.0, 85.0]]",[],"[[260.0, 163.0, 321.0, 225.0], [259.0, 162.0, 319.0, 218.0], [348.0, 83.0, 386.0, 139.0]]",INFORM,0.0,0.0
bp_0_110_4,there has been fighting in the streets! perhaps the militia has finally finished jakarra!,[],"[[9.0, 3.0, 187.0, 43.0], [13.0, 59.0, 189.0, 151.0], [243.0, 5.0, 363.0, 85.0]]",[],"[[260.0, 163.0, 321.0, 225.0], [259.0, 162.0, 319.0, 218.0], [348.0, 83.0, 386.0, 139.0]]",,0.0,1.0
bp_0_110_4,"we'd have had the news at this hour, noble one...",[],"[[9.0, 3.0, 187.0, 43.0], [13.0, 59.0, 189.0, 151.0], [243.0, 5.0, 363.0, 85.0]]",[],"[[260.0, 163.0, 321.0, 225.0], [259.0, 162.0, 319.0, 218.0], [348.0, 83.0, 386.0, 139.0]]",INFORM,0.6,0.9
bp_0_111_0,"wrong, n'gassi! your unlikely candidates for t'challa's job have done his work!",[],"[[4.0, 2.0, 247.0, 114.0], [252.0, 61.0, 451.0, 179.0], [451.0, 5.0, 693.0, 119.0], [706.0, 7.0, 879.0, 141.0]]",[],"[[107.0, 77.0, 236.0, 234.0], [285.0, 219.0, 408.0, 339.0], [486.0, 105.0, 594.0, 220.0], [727.0, 130.0, 853.0, 261.0]]",,-0.625,0.7
bp_0_111_0,we are proud to say that the task was accomplished with high risk and minimal injury.,[],"[[4.0, 2.0, 247.0, 114.0], [252.0, 61.0, 451.0, 179.0], [451.0, 5.0, 693.0, 119.0], [706.0, 7.0, 879.0, 141.0]]",[],"[[107.0, 77.0, 236.0, 234.0], [285.0, 219.0, 408.0, 339.0], [486.0, 105.0, 594.0, 220.0], [727.0, 130.0, 853.0, 261.0]]",INFORM,0.26499999999999996,0.66
bp_0_111_0,joshus itobo refers to my backside... it's really too well padded to suffer badly in a fall!,[],"[[4.0, 2.0, 247.0, 114.0], [252.0, 61.0, 451.0, 179.0], [451.0, 5.0, 693.0, 119.0], [706.0, 7.0, 879.0, 141.0]]",[],"[[107.0, 77.0, 236.0, 234.0], [285.0, 219.0, 408.0, 339.0], [486.0, 105.0, 594.0, 220.0], [727.0, 130.0, 853.0, 261.0]]",INFORM,-0.3374999999999999,0.43333333333333335
bp_0_111_0,"in short, you old leopard.. we've brought in jakarra! and put an end to his rampage!",[],"[[4.0, 2.0, 247.0, 114.0], [252.0, 61.0, 451.0, 179.0], [451.0, 5.0, 693.0, 119.0], [706.0, 7.0, 879.0, 141.0]]",[],"[[107.0, 77.0, 236.0, 234.0], [285.0, 219.0, 408.0, 339.0], [486.0, 105.0, 594.0, 220.0], [727.0, 130.0, 853.0, 261.0]]",,0.078125,0.25
bp_0_111_3,"behold, wise one! the riddle of jakarra is now ours to solve without danger to others!",[],"[[0.0, 2.0, 203.0, 104.0], [241.0, 11.0, 428.0, 89.0]]",[],"[[92.0, 167.0, 157.0, 240.0], [249.0, 133.0, 349.0, 222.0]]",,1.0,0.9
bp_0_111_3,there's only one way to solve this! he must be destroyed at once--!,[],"[[0.0, 2.0, 203.0, 104.0], [241.0, 11.0, 428.0, 89.0]]",[],"[[92.0, 167.0, 157.0, 240.0], [249.0, 133.0, 349.0, 222.0]]",,0.0,1.0
bp_0_111_4,it's the rulling family--!,['suddenly upon entering...'],"[[10.0, 61.0, 107.0, 123.0], [283.0, 4.0, 415.0, 110.0]]","[[3.0, 2.0, 164.0, 41.0]]","[[5.0, 144.0, 79.0, 361.0], [295.0, 238.0, 428.0, 430.0]]",INFORM,0.0,0.0
bp_0_111_4,optimists! they greet the panther in triumph not yet achieved!,['suddenly upon entering...'],"[[10.0, 61.0, 107.0, 123.0], [283.0, 4.0, 415.0, 110.0]]","[[3.0, 2.0, 164.0, 41.0]]","[[5.0, 144.0, 79.0, 361.0], [295.0, 238.0, 428.0, 430.0]]",,0.0,0.0
bp_0_112_0,"you mean he isn't on of us? but, that costume?","['meanwhile, in the area known as the sudan...']","[[6.0, 52.0, 196.0, 108.0], [243.0, 38.0, 480.0, 107.0], [635.0, 5.0, 864.0, 75.0], [716.0, 83.0, 878.0, 200.0], [755.0, 470.0, 887.0, 530.0]]","[[6.0, 6.0, 242.0, 47.0]]","[[73.0, 122.0, 200.0, 273.0], [227.0, 137.0, 348.0, 229.0], [514.0, 23.0, 605.0, 127.0], [645.0, 163.0, 742.0, 284.0], [522.0, 371.0, 625.0, 479.0]]",,-0.3125,0.6875
bp_0_112_0,"costume, shmostume! i found him crawlong in the desert -- almost dying of fatigue!","['meanwhile, in the area known as the sudan...']","[[6.0, 52.0, 196.0, 108.0], [243.0, 38.0, 480.0, 107.0], [635.0, 5.0, 864.0, 75.0], [716.0, 83.0, 878.0, 200.0], [755.0, 470.0, 887.0, 530.0]]","[[6.0, 6.0, 242.0, 47.0]]","[[73.0, 122.0, 200.0, 273.0], [227.0, 137.0, 348.0, 229.0], [514.0, 23.0, 605.0, 127.0], [645.0, 163.0, 742.0, 284.0], [522.0, 371.0, 625.0, 479.0]]",,0.0,0.0
bp_0_112_0,that goes double for his friend--the guy's not only dehydrated but wounded as well.,"['meanwhile, in the area known as the sudan...']","[[6.0, 52.0, 196.0, 108.0], [243.0, 38.0, 480.0, 107.0], [635.0, 5.0, 864.0, 75.0], [716.0, 83.0, 878.0, 200.0], [755.0, 470.0, 887.0, 530.0]]","[[6.0, 6.0, 242.0, 47.0]]","[[73.0, 122.0, 200.0, 273.0], [227.0, 137.0, 348.0, 229.0], [514.0, 23.0, 605.0, 127.0], [645.0, 163.0, 742.0, 284.0], [522.0, 371.0, 625.0, 479.0]]",,0.0,0.5
bp_0_112_0,poor man! drink some more of this cold milk--it's very refreshing...,"['meanwhile, in the area known as the sudan...']","[[6.0, 52.0, 196.0, 108.0], [243.0, 38.0, 480.0, 107.0], [635.0, 5.0, 864.0, 75.0], [716.0, 83.0, 878.0, 200.0], [755.0, 470.0, 887.0, 530.0]]","[[6.0, 6.0, 242.0, 47.0]]","[[73.0, 122.0, 200.0, 273.0], [227.0, 137.0, 348.0, 229.0], [514.0, 23.0, 605.0, 127.0], [645.0, 163.0, 742.0, 284.0], [522.0, 371.0, 625.0, 479.0]]",,0.012500000000000011,0.775
bp_0_112_0,"thank you, miss... you're very kind...","['meanwhile, in the area known as the sudan...']","[[6.0, 52.0, 196.0, 108.0], [243.0, 38.0, 480.0, 107.0], [635.0, 5.0, 864.0, 75.0], [716.0, 83.0, 878.0, 200.0], [755.0, 470.0, 887.0, 530.0]]","[[6.0, 6.0, 242.0, 47.0]]","[[73.0, 122.0, 200.0, 273.0], [227.0, 137.0, 348.0, 229.0], [514.0, 23.0, 605.0, 127.0], [645.0, 163.0, 742.0, 284.0], [522.0, 371.0, 625.0, 479.0]]",,0.78,1.0
bp_0_113_4,"but, we've been instucted to keep you here!why not relax and watch us shoot this film.",[],"[[2.0, 4.0, 310.0, 70.0], [197.0, 84.0, 392.0, 179.0]]",[],"[[-1.0, -1.0, -1.0, -1.0], [48.0, 86.0, 424.0, 418.0]]",,0.0,0.0
bp_0_113_4,by the sacred panther --you've created another world in this desert!it's fantactic!,[],"[[2.0, 4.0, 310.0, 70.0], [197.0, 84.0, 392.0, 179.0]]",[],"[[-1.0, -1.0, -1.0, -1.0], [48.0, 86.0, 424.0, 418.0]]",,0.0,0.0
bp_0_114_1,"as you can see, we lean heavily on costumes and specialized equipment!",[],"[[25.0, 2.0, 206.0, 92.0], [254.0, 6.0, 429.0, 86.0]]",[],"[[105.0, 101.0, 152.0, 142.0], [209.0, 90.0, 244.0, 130.0]]",INFORM,-0.25,0.5
bp_0_114_1,i like your fleet of trucks and jeeps. that's a fair-sized motor pool.,[],"[[25.0, 2.0, 206.0, 92.0], [254.0, 6.0, 429.0, 86.0]]",[],"[[105.0, 101.0, 152.0, 142.0], [209.0, 90.0, 244.0, 130.0]]",,0.0,0.0
bp_0_116_0,jiru merely voices my own fears! this is not a common patient-- but an unknown force of mounting power!,[],"[[7.0, 5.0, 163.0, 159.0], [190.0, 4.0, 410.0, 73.0], [263.0, 62.0, 433.0, 139.0]]",[],"[[29.0, 179.0, 125.0, 315.0], [142.0, 129.0, 283.0, 282.0], [315.0, 130.0, 419.0, 256.0]]",,0.06875,0.65
bp_0_116_0,that's true... there are definite signs of a rising energy level!,[],"[[7.0, 5.0, 163.0, 159.0], [190.0, 4.0, 410.0, 73.0], [263.0, 62.0, 433.0, 139.0]]",[],"[[29.0, 179.0, 125.0, 315.0], [142.0, 129.0, 283.0, 282.0], [315.0, 130.0, 419.0, 256.0]]",,0.175,0.575
bp_0_116_0,don't you see? jakarra is no longer human!,[],"[[7.0, 5.0, 163.0, 159.0], [190.0, 4.0, 410.0, 73.0], [263.0, 62.0, 433.0, 139.0]]",[],"[[29.0, 179.0, 125.0, 315.0], [142.0, 129.0, 283.0, 282.0], [315.0, 130.0, 419.0, 256.0]]",,0.0,0.1
bp_0_116_4,i say destroy him before he regains his senses!,['at that very moment...'],"[[6.0, 35.0, 161.0, 105.0], [257.0, 19.0, 430.0, 107.0], [270.0, 110.0, 432.0, 154.0]]","[[5.0, 2.0, 245.0, 30.0]]","[[12.0, 112.0, 60.0, 161.0], [201.0, 108.0, 252.0, 159.0], [324.0, 133.0, 382.0, 190.0]]",ORDER,-0.25,0.0
bp_0_116_4,"you forget that i'm a doctor, n'gassi! i cannot take a life!",['at that very moment...'],"[[6.0, 35.0, 161.0, 105.0], [257.0, 19.0, 430.0, 107.0], [270.0, 110.0, 432.0, 154.0]]","[[5.0, 2.0, 245.0, 30.0]]","[[12.0, 112.0, 60.0, 161.0], [201.0, 108.0, 252.0, 159.0], [324.0, 133.0, 382.0, 190.0]]",,0.0,0.0
bp_0_116_4,let him live--and we all die!,['at that very moment...'],"[[6.0, 35.0, 161.0, 105.0], [257.0, 19.0, 430.0, 107.0], [270.0, 110.0, 432.0, 154.0]]","[[5.0, 2.0, 245.0, 30.0]]","[[12.0, 112.0, 60.0, 161.0], [201.0, 108.0, 252.0, 159.0], [324.0, 133.0, 382.0, 190.0]]",INFORM,0.0,0.0
bp_0_117_2,mighty t'challa would never have staked the lives of his people on such a foolish hope!,[],"[[3.0, 3.0, 206.0, 94.0], [98.0, 103.0, 210.0, 202.0], [217.0, 6.0, 428.0, 110.0]]",[],"[[216.0, 206.0, 252.0, 260.0], [218.0, 206.0, 253.0, 262.0], [280.0, 225.0, 319.0, 261.0]]",INFORM,0.2,0.7
bp_0_117_2,we must prepare for possible disaster!,[],"[[3.0, 3.0, 206.0, 94.0], [98.0, 103.0, 210.0, 202.0], [217.0, 6.0, 428.0, 110.0]]",[],"[[216.0, 206.0, 252.0, 260.0], [218.0, 206.0, 253.0, 262.0], [280.0, 225.0, 319.0, 261.0]]",COMMIT,0.0,1.0
bp_0_117_2,"i believe you're overdramatizing the risks, n'gassi! i'll keep him under control until a cure is found.",[],"[[3.0, 3.0, 206.0, 94.0], [98.0, 103.0, 210.0, 202.0], [217.0, 6.0, 428.0, 110.0]]",[],"[[216.0, 206.0, 252.0, 260.0], [218.0, 206.0, 253.0, 262.0], [280.0, 225.0, 319.0, 261.0]]",,0.0,0.0
bp_0_119_3,i didn't expect this kind of pursuit...but it may be more to my advantage than thiers.,[],"[[15.0, 1.0, 318.0, 75.0]]",[],"[[263.0, 56.0, 351.0, 137.0]]",,0.55,0.7
bp_0_119_5,i am your prisoner! come and get me!,[],"[[84.0, 8.0, 208.0, 80.0]]",[],"[[110.0, 108.0, 150.0, 154.0]]",,0.0,0.0
bp_0_11_2,sorry about this!,"['risking swift disintegration, the black panther leaps outward and strikes hard with unmatched speed!']","[[6.0, 138.0, 77.0, 214.0]]","[[5.0, 5.0, 423.0, 114.0]]","[[80.0, 154.0, 164.0, 228.0]]",POLITENESS_FORMULA,-0.625,1.0
bp_0_120_0,surrender to us! you're our prisoner!,"['and, it is written in the sacred records of the wakandas, that there will come a day when a self-defiled creature of power shall enter the great vibranium mound and cause a never-ending sound of doom! on that day--']","[[76.0, 283.0, 286.0, 396.0], [350.0, 236.0, 517.0, 308.0], [532.0, 235.0, 680.0, 420.0], [758.0, 572.0, 875.0, 738.0]]","[[13.0, 11.0, 873.0, 69.0]]","[[13.0, 423.0, 100.0, 500.0], [331.0, 378.0, 422.0, 520.0], [329.0, 377.0, 419.0, 518.0], [551.0, 524.0, 701.0, 658.0]]",,0.0,0.0
bp_0_120_0,"that remains to be seen, gentlemen--","['and, it is written in the sacred records of the wakandas, that there will come a day when a self-defiled creature of power shall enter the great vibranium mound and cause a never-ending sound of doom! on that day--']","[[76.0, 283.0, 286.0, 396.0], [350.0, 236.0, 517.0, 308.0], [532.0, 235.0, 680.0, 420.0], [758.0, 572.0, 875.0, 738.0]]","[[13.0, 11.0, 873.0, 69.0]]","[[13.0, 423.0, 100.0, 500.0], [331.0, 378.0, 422.0, 520.0], [329.0, 377.0, 419.0, 518.0], [551.0, 524.0, 701.0, 658.0]]",FEEDBACK,0.0,0.0
bp_0_120_0,"if the sudanese authorities want me for questioning, they'll have to wait for a more favorable time!","['and, it is written in the sacred records of the wakandas, that there will come a day when a self-defiled creature of power shall enter the great vibranium mound and cause a never-ending sound of doom! on that day--']","[[76.0, 283.0, 286.0, 396.0], [350.0, 236.0, 517.0, 308.0], [532.0, 235.0, 680.0, 420.0], [758.0, 572.0, 875.0, 738.0]]","[[13.0, 11.0, 873.0, 69.0]]","[[13.0, 423.0, 100.0, 500.0], [331.0, 378.0, 422.0, 520.0], [329.0, 377.0, 419.0, 518.0], [551.0, 524.0, 701.0, 658.0]]",INFORM,0.625,0.5
bp_0_120_0,don't be a fool! we can shoot you for resisting arrest!,"['and, it is written in the sacred records of the wakandas, that there will come a day when a self-defiled creature of power shall enter the great vibranium mound and cause a never-ending sound of doom! on that day--']","[[76.0, 283.0, 286.0, 396.0], [350.0, 236.0, 517.0, 308.0], [532.0, 235.0, 680.0, 420.0], [758.0, 572.0, 875.0, 738.0]]","[[13.0, 11.0, 873.0, 69.0]]","[[13.0, 423.0, 100.0, 500.0], [331.0, 378.0, 422.0, 520.0], [329.0, 377.0, 419.0, 518.0], [551.0, 524.0, 701.0, 658.0]]",,-0.0625,0.0
bp_0_121_2,to shot the black panther is to strike at the wind!,[],"[[5.0, 5.0, 177.0, 97.0]]",[],"[[104.0, 89.0, 183.0, 203.0]]",INFORM,-0.20833333333333331,0.43333333333333335
bp_0_122_5,those two will blister the air with some choice phrases when they awaken!,[],"[[4.0, 7.0, 181.0, 107.0], [266.0, 9.0, 420.0, 104.0]]",[],"[[222.0, 17.0, 289.0, 104.0], [222.0, 15.0, 287.0, 101.0]]",INFORM,0.0,0.0
bp_0_122_5,but i'll be well out of earshot when that moment comes!,[],"[[4.0, 7.0, 181.0, 107.0], [266.0, 9.0, 420.0, 104.0]]",[],"[[222.0, 17.0, 289.0, 104.0], [222.0, 15.0, 287.0, 101.0]]",INFORM,0.0,0.0
bp_0_123_0,he's gone! jakarra's broken out of his fortified chamber!,"['meanwhile, in the hidden domain of the panther cult...']","[[7.0, 51.0, 226.0, 129.0], [8.0, 132.0, 154.0, 206.0], [367.0, 3.0, 581.0, 75.0], [618.0, 2.0, 866.0, 104.0], [790.0, 91.0, 868.0, 190.0]]","[[6.0, 6.0, 308.0, 47.0]]","[[262.0, 54.0, 321.0, 109.0], [99.0, 166.0, 247.0, 384.0], [380.0, 81.0, 438.0, 153.0], [541.0, 69.0, 603.0, 131.0], [690.0, 102.0, 787.0, 228.0]]",,-0.5,0.4
