img_id,dialog,narration,dialog_bounding_boxes,narration_bounding_boxes,face_bounding_boxes,tag,sentiment,subjectivity,emotion
bp_0_101_0,"hail, cousin",['suddenly...'],"[[112.0, 230.0, 208.0, 304.0], [624.0, 2.0, 816.0, 31.0], [778.0, 36.0, 885.0, 69.0]]","[[5.0, 4.0, 139.0, 31.0]]","[[0.0, 207.0, 106.0, 329.0], [344.0, 24.0, 439.0, 152.0], [779.0, 102.0, 837.0, 170.0]]",GREET,0.0,0.0,"{""neutral"": 0.4409, ""sadness"": 0.2969, ""joy"": 0.1737, ""surprise"": 0.0454, ""anger"": 0.029, ""disgust"": 0.0121, ""fear"": 0.002}"
bp_0_101_0,jakarra!,['suddenly...'],"[[112.0, 230.0, 208.0, 304.0], [624.0, 2.0, 816.0, 31.0], [778.0, 36.0, 885.0, 69.0]]","[[5.0, 4.0, 139.0, 31.0]]","[[0.0, 207.0, 106.0, 329.0], [344.0, 24.0, 439.0, 152.0], [779.0, 102.0, 837.0, 170.0]]",NOT_CLASSIFIABLE,0.0,0.0,"{""surprise"": 0.5138, ""joy"": 0.1697, ""anger"": 0.1662, ""neutral"": 0.1023, ""sadness"": 0.0247, ""fear"": 0.0117, ""disgust"": 0.0116}"
bp_0_101_1,b-but this can't be jakarra --not this repellent creature!!,[],"[[5.0, 4.0, 126.0, 107.0], [140.0, 8.0, 252.0, 90.0], [59.0, 118.0, 224.0, 199.0]]",[],"[[23.0, 268.0, 68.0, 333.0], [260.0, 5.0, 435.0, 402.0], [97.0, 236.0, 141.0, 295.0]]",INFORM,-1.0,1.0,"{""disgust"": 0.3904, ""anger"": 0.2452, ""fear"": 0.1645, ""neutral"": 0.1008, ""surprise"": 0.0485, ""sadness"": 0.0327, ""joy"": 0.0179}"
bp_0_101_1,"you see me as vibranium made me, zuni!",[],"[[5.0, 4.0, 126.0, 107.0], [140.0, 8.0, 252.0, 90.0], [59.0, 118.0, 224.0, 199.0]]",[],"[[23.0, 268.0, 68.0, 333.0], [260.0, 5.0, 435.0, 402.0], [97.0, 236.0, 141.0, 295.0]]",INFORM,0.0,0.0,"{""joy"": 0.359, ""surprise"": 0.3538, ""neutral"": 0.1566, ""anger"": 0.0985, ""sadness"": 0.0137, ""disgust"": 0.0118, ""fear"": 0.0066}"
bp_0_101_1,"n'gassi told the truth! you won't stop him with band-aids, doctor!",[],"[[5.0, 4.0, 126.0, 107.0], [140.0, 8.0, 252.0, 90.0], [59.0, 118.0, 224.0, 199.0]]",[],"[[23.0, 268.0, 68.0, 333.0], [260.0, 5.0, 435.0, 402.0], [97.0, 236.0, 141.0, 295.0]]",INFORM,0.0,0.0,"{""anger"": 0.738, ""fear"": 0.1536, ""surprise"": 0.0326, ""joy"": 0.0293, ""neutral"": 0.0249, ""sadness"": 0.0134, ""disgust"": 0.0081}"
bp_0_102_1,wow... some smart alec is projecting hundred of images. my spider webs can't catch what's not real... but how to tell which is the real villain?,[],"[[6.0, 5.0, 460.0, 88.0]]",[],"[[118.0, 76.0, 157.0, 118.0]]",,0.10357142857142856,0.5607142857142857,"{""surprise"": 0.9799, ""neutral"": 0.0076, ""sadness"": 0.0033, ""joy"": 0.0032, ""anger"": 0.0026, ""fear"": 0.002, ""disgust"": 0.0015}"
bp_0_104_3,i'd still be airborne and in sight of wakanda territory if i hadn't chanced upon this spoiler!,['*last issue-- jack.'],"[[2.0, 6.0, 232.0, 98.0], [274.0, 12.0, 420.0, 117.0]]","[[117.0, 403.0, 342.0, 433.0]]","[[138.0, 147.0, 202.0, 229.0], [141.0, 148.0, 202.0, 227.0]]",INFORM,0.0,0.0,"{""surprise"": 0.5409, ""fear"": 0.1452, ""joy"": 0.1132, ""neutral"": 0.0913, ""anger"": 0.0688, ""sadness"": 0.0374, ""disgust"": 0.0032}"
bp_0_104_3,he caused the wreck of my helicopter!*,['*last issue-- jack.'],"[[2.0, 6.0, 232.0, 98.0], [274.0, 12.0, 420.0, 117.0]]","[[117.0, 403.0, 342.0, 433.0]]","[[138.0, 147.0, 202.0, 229.0], [141.0, 148.0, 202.0, 227.0]]",INFORM,0.0,0.0,"{""anger"": 0.6365, ""surprise"": 0.1064, ""fear"": 0.0972, ""sadness"": 0.0731, ""disgust"": 0.0514, ""neutral"": 0.0257, ""joy"": 0.0097}"
bp_0_105_1,"yet, who will fight harder for his life than the wakandan warrior...though his body is taken from him cell by cell, his spirit yields no ground to the demons of darkness!",[],"[[27.0, 5.0, 420.0, 90.0]]",[],"[[114.0, 120.0, 254.0, 246.0]]",,-0.125,0.0,"{""fear"": 0.3364, ""sadness"": 0.2871, ""anger"": 0.1672, ""neutral"": 0.1024, ""disgust"": 0.0512, ""surprise"": 0.0436, ""joy"": 0.0122}"
bp_0_107_4,don't scoff at a clown until you catch his entire act!,[],"[[3.0, 5.0, 160.0, 110.0], [196.0, 10.0, 432.0, 102.0]]",[],"[[-1.0, -1.0, -1.0, -1.0], [256.0, 200.0, 393.0, 304.0]]",INFORM,0.0,0.625,"{""anger"": 0.8809, ""disgust"": 0.0882, ""fear"": 0.0126, ""neutral"": 0.0066, ""surprise"": 0.0053, ""sadness"": 0.0035, ""joy"": 0.0029}"
bp_0_107_4,devious dog! i'll crush you and that device to pulp!,[],"[[3.0, 5.0, 160.0, 110.0], [196.0, 10.0, 432.0, 102.0]]",[],"[[-1.0, -1.0, -1.0, -1.0], [256.0, 200.0, 393.0, 304.0]]",,0.0,0.0,"{""anger"": 0.8788, ""fear"": 0.0664, ""disgust"": 0.0308, ""sadness"": 0.0087, ""surprise"": 0.0057, ""neutral"": 0.0056, ""joy"": 0.004}"
bp_0_108_3,"death will be swift, zuni! that disguise can neither hide you nor spare you!",[],"[[5.0, 3.0, 154.0, 107.0], [174.0, 2.0, 294.0, 88.0], [299.0, 1.0, 429.0, 93.0]]",[],"[[24.0, 107.0, 107.0, 187.0], [214.0, 85.0, 269.0, 143.0], [333.0, 80.0, 419.0, 147.0]]",,0.0,0.0,"{""fear"": 0.5462, ""anger"": 0.189, ""neutral"": 0.0911, ""sadness"": 0.0868, ""surprise"": 0.0713, ""disgust"": 0.0082, ""joy"": 0.0074}"
bp_0_108_3,"keep him at bay, cousin! i'm almost ready!",[],"[[5.0, 3.0, 154.0, 107.0], [174.0, 2.0, 294.0, 88.0], [299.0, 1.0, 429.0, 93.0]]",[],"[[24.0, 107.0, 107.0, 187.0], [214.0, 85.0, 269.0, 143.0], [333.0, 80.0, 419.0, 147.0]]",,0.25,0.5,"{""joy"": 0.6841, ""neutral"": 0.1699, ""surprise"": 0.094, ""anger"": 0.0259, ""sadness"": 0.0196, ""fear"": 0.0034, ""disgust"": 0.0031}"
bp_0_108_3,"that's small comfort, dolt! he's tearing my arms off!",[],"[[5.0, 3.0, 154.0, 107.0], [174.0, 2.0, 294.0, 88.0], [299.0, 1.0, 429.0, 93.0]]",[],"[[24.0, 107.0, 107.0, 187.0], [214.0, 85.0, 269.0, 143.0], [333.0, 80.0, 419.0, 147.0]]",,-0.390625,0.4,"{""anger"": 0.3062, ""sadness"": 0.2018, ""surprise"": 0.173, ""disgust"": 0.1268, ""neutral"": 0.0746, ""joy"": 0.0736, ""fear"": 0.044}"
bp_0_109_4,"joshua itobo, are you injured?",['a moment of stunned silence follows the fading echoes of violence...'],"[[9.0, 51.0, 193.0, 94.0], [206.0, 52.0, 418.0, 123.0]]","[[3.0, 7.0, 433.0, 45.0]]","[[-1.0, -1.0, -1.0, -1.0], [358.0, 112.0, 435.0, 208.0]]",YES-NO_QUESTION,0.0,0.0,"{""sadness"": 0.4493, ""surprise"": 0.2698, ""neutral"": 0.2334, ""fear"": 0.0233, ""anger"": 0.011, ""disgust"": 0.0095, ""joy"": 0.0036}"
bp_0_109_4,it seems impossible that any of us should have survived!,['a moment of stunned silence follows the fading echoes of violence...'],"[[9.0, 51.0, 193.0, 94.0], [206.0, 52.0, 418.0, 123.0]]","[[3.0, 7.0, 433.0, 45.0]]","[[-1.0, -1.0, -1.0, -1.0], [358.0, 112.0, 435.0, 208.0]]",FEEDBACK,-0.8333333333333333,1.0,"{""surprise"": 0.8272, ""anger"": 0.0584, ""neutral"": 0.0404, ""fear"": 0.0307, ""sadness"": 0.0191, ""disgust"": 0.0186, ""joy"": 0.0056}"
bp_0_109_5,but we did!your plan was perfection itself!,[],"[[2.0, 7.0, 153.0, 78.0], [171.0, 8.0, 309.0, 127.0], [318.0, 19.0, 432.0, 98.0]]",[],"[[62.0, 83.0, 128.0, 144.0], [154.0, 113.0, 212.0, 186.0], [354.0, 108.0, 415.0, 169.0]]",,0.0,0.0,"{""surprise"": 0.5734, ""anger"": 0.2395, ""sadness"": 0.0717, ""joy"": 0.0556, ""neutral"": 0.0352, ""disgust"": 0.0189, ""fear"": 0.0056}"
bp_0_109_5,"it was an act of madness, carried out by four unfit for battle!",[],"[[2.0, 7.0, 153.0, 78.0], [171.0, 8.0, 309.0, 127.0], [318.0, 19.0, 432.0, 98.0]]",[],"[[62.0, 83.0, 128.0, 144.0], [154.0, 113.0, 212.0, 186.0], [354.0, 108.0, 415.0, 169.0]]",INFORM,0.0,0.0,"{""anger"": 0.6692, ""disgust"": 0.1319, ""fear"": 0.0812, ""surprise"": 0.0762, ""sadness"": 0.0266, ""neutral"": 0.0104, ""joy"": 0.0044}"
bp_0_109_5,you mean four of will and courage!,[],"[[2.0, 7.0, 153.0, 78.0], [171.0, 8.0, 309.0, 127.0], [318.0, 19.0, 432.0, 98.0]]",[],"[[62.0, 83.0, 128.0, 144.0], [154.0, 113.0, 212.0, 186.0], [354.0, 108.0, 415.0, 169.0]]",INFORM,-0.390625,0.6875,"{""anger"": 0.4446, ""surprise"": 0.2892, ""neutral"": 0.1263, ""joy"": 0.0768, ""disgust"": 0.0541, ""fear"": 0.0049, ""sadness"": 0.0041}"
bp_0_10_5,he can't keep his eye on all off us!!pick him off with a careful shot!!,[],"[[3.0, 2.0, 226.0, 88.0], [254.0, 4.0, 449.0, 84.0]]",[],"[[31.0, 145.0, 182.0, 347.0], [233.0, 115.0, 433.0, 270.0]]",,-0.15625,1.0,"{""fear"": 0.4951, ""neutral"": 0.2013, ""anger"": 0.1121, ""surprise"": 0.0818, ""sadness"": 0.0807, ""joy"": 0.0178, ""disgust"": 0.0113}"
bp_0_10_5,"he moves like a jungle cat, highness, but i'll do my best!",[],"[[3.0, 2.0, 226.0, 88.0], [254.0, 4.0, 449.0, 84.0]]",[],"[[31.0, 145.0, 182.0, 347.0], [233.0, 115.0, 433.0, 270.0]]",FEEDBACK,1.0,0.3,"{""joy"": 0.4164, ""anger"": 0.2717, ""neutral"": 0.2371, ""disgust"": 0.0247, ""fear"": 0.0209, ""sadness"": 0.0166, ""surprise"": 0.0126}"
bp_0_110_0,i don't know what possessed me to call upon the ruling family in this crisis! look at these expenditures! costumes-- smoke guns-- chemicals-- adhesive--,"[""meanwhile, in the administrative office of n'gassi, who governs in t'challa's absence...""]","[[5.0, 70.0, 234.0, 260.0], [263.0, 51.0, 430.0, 111.0]]","[[3.0, 5.0, 433.0, 67.0]]","[[194.0, 129.0, 236.0, 178.0], [369.0, 105.0, 419.0, 158.0]]",,0.0,0.0,"{""surprise"": 0.7509, ""anger"": 0.1225, ""sadness"": 0.0423, ""neutral"": 0.029, ""fear"": 0.0226, ""joy"": 0.0166, ""disgust"": 0.0162}"
bp_0_110_0,they've been very secretive these past days.,"[""meanwhile, in the administrative office of n'gassi, who governs in t'challa's absence...""]","[[5.0, 70.0, 234.0, 260.0], [263.0, 51.0, 430.0, 111.0]]","[[3.0, 5.0, 433.0, 67.0]]","[[194.0, 129.0, 236.0, 178.0], [369.0, 105.0, 419.0, 158.0]]",INFORM,-0.024999999999999994,0.275,"{""neutral"": 0.9008, ""sadness"": 0.0306, ""disgust"": 0.0232, ""anger"": 0.0178, ""fear"": 0.0164, ""surprise"": 0.0076, ""joy"": 0.0037}"
bp_0_110_4,how i wish for his swift return!,[],"[[9.0, 3.0, 187.0, 43.0], [13.0, 59.0, 189.0, 151.0], [243.0, 5.0, 363.0, 85.0]]",[],"[[260.0, 163.0, 321.0, 225.0], [259.0, 162.0, 319.0, 218.0], [348.0, 83.0, 386.0, 139.0]]",INFORM,0.0,0.0,"{""sadness"": 0.4646, ""surprise"": 0.4202, ""neutral"": 0.0509, ""joy"": 0.0409, ""fear"": 0.018, ""anger"": 0.0035, ""disgust"": 0.0017}"
bp_0_110_4,there has been fighting in the streets! perhaps the militia has finally finished jakarra!,[],"[[9.0, 3.0, 187.0, 43.0], [13.0, 59.0, 189.0, 151.0], [243.0, 5.0, 363.0, 85.0]]",[],"[[260.0, 163.0, 321.0, 225.0], [259.0, 162.0, 319.0, 218.0], [348.0, 83.0, 386.0, 139.0]]",,0.0,1.0,"{""surprise"": 0.4819, ""neutral"": 0.3304, ""joy"": 0.0879, ""anger"": 0.0643, ""sadness"": 0.0194, ""fear"": 0.0087, ""disgust"": 0.0074}"
bp_0_110_4,"we'd have had the news at this hour, noble one...",[],"[[9.0, 3.0, 187.0, 43.0], [13.0, 59.0, 189.0, 151.0], [243.0, 5.0, 363.0, 85.0]]",[],"[[260.0, 163.0, 321.0, 225.0], [259.0, 162.0, 319.0, 218.0], [348.0, 83.0, 386.0, 139.0]]",INFORM,0.6,0.9,"{""neutral"": 0.8027, ""joy"": 0.1403, ""surprise"": 0.0206, ""sadness"": 0.0147, ""anger"": 0.0112, ""disgust"": 0.0082, ""fear"": 0.0023}"
bp_0_111_0,"wrong, n'gassi! your unlikely candidates for t'challa's job have done his work!",[],"[[4.0, 2.0, 247.0, 114.0], [252.0, 61.0, 451.0, 179.0], [451.0, 5.0, 693.0, 119.0], [706.0, 7.0, 879.0, 141.0]]",[],"[[107.0, 77.0, 236.0, 234.0], [285.0, 219.0, 408.0, 339.0], [486.0, 105.0, 594.0, 220.0], [727.0, 130.0, 853.0, 261.0]]",,-0.625,0.7,"{""surprise"": 0.6575, ""neutral"": 0.1784, ""anger"": 0.0563, ""sadness"": 0.0486, ""joy"": 0.0456, ""fear"": 0.0074, ""disgust"": 0.0063}"
bp_0_111_0,we are proud to say that the task was accomplished with high risk and minimal injury.,[],"[[4.0, 2.0, 247.0, 114.0], [252.0, 61.0, 451.0, 179.0], [451.0, 5.0, 693.0, 119.0], [706.0, 7.0, 879.0, 141.0]]",[],"[[107.0, 77.0, 236.0, 234.0], [285.0, 219.0, 408.0, 339.0], [486.0, 105.0, 594.0, 220.0], [727.0, 130.0, 853.0, 261.0]]",INFORM,0.26499999999999996,0.66,"{""joy"": 0.9636, ""neutral"": 0.0209, ""anger"": 0.0049, ""sadness"": 0.0042, ""surprise"": 0.0029, ""fear"": 0.0025, ""disgust"": 0.0011}"
bp_0_111_0,joshus itobo refers to my backside... it's really too well padded to suffer badly in a fall!,[],"[[4.0, 2.0, 247.0, 114.0], [252.0, 61.0, 451.0, 179.0], [451.0, 5.0, 693.0, 119.0], [706.0, 7.0, 879.0, 141.0]]",[],"[[107.0, 77.0, 236.0, 234.0], [285.0, 219.0, 408.0, 339.0], [486.0, 105.0, 594.0, 220.0], [727.0, 130.0, 853.0, 261.0]]",INFORM,-0.3374999999999999,0.43333333333333335,"{""sadness"": 0.7404, ""surprise"": 0.1225, ""neutral"": 0.076, ""joy"": 0.018, ""fear"": 0.0177, ""disgust"": 0.0163, ""anger"": 0.0091}"
bp_0_111_0,"in short, you old leopard.. we've brought in jakarra! and put an end to his rampage!",[],"[[4.0, 2.0, 247.0, 114.0], [252.0, 61.0, 451.0, 179.0], [451.0, 5.0, 693.0, 119.0], [706.0, 7.0, 879.0, 141.0]]",[],"[[107.0, 77.0, 236.0, 234.0], [285.0, 219.0, 408.0, 339.0], [486.0, 105.0, 594.0, 220.0], [727.0, 130.0, 853.0, 261.0]]",,0.078125,0.25,"{""anger"": 0.8083, ""neutral"": 0.0758, ""surprise"": 0.0433, ""disgust"": 0.0279, ""joy"": 0.0183, ""fear"": 0.0158, ""sadness"": 0.0107}"
bp_0_111_3,"behold, wise one! the riddle of jakarra is now ours to solve without danger to others!",[],"[[0.0, 2.0, 203.0, 104.0], [241.0, 11.0, 428.0, 89.0]]",[],"[[92.0, 167.0, 157.0, 240.0], [249.0, 133.0, 349.0, 222.0]]",,1.0,0.9,"{""anger"": 0.4692, ""fear"": 0.2727, ""neutral"": 0.1782, ""disgust"": 0.0376, ""joy"": 0.0176, ""sadness"": 0.0155, ""surprise"": 0.0092}"
bp_0_111_3,there's only one way to solve this! he must be destroyed at once--!,[],"[[0.0, 2.0, 203.0, 104.0], [241.0, 11.0, 428.0, 89.0]]",[],"[[92.0, 167.0, 157.0, 240.0], [249.0, 133.0, 349.0, 222.0]]",,0.0,1.0,"{""anger"": 0.4938, ""surprise"": 0.1832, ""sadness"": 0.1049, ""neutral"": 0.0971, ""disgust"": 0.0662, ""fear"": 0.0398, ""joy"": 0.0151}"
bp_0_111_4,it's the rulling family--!,['suddenly upon entering...'],"[[10.0, 61.0, 107.0, 123.0], [283.0, 4.0, 415.0, 110.0]]","[[3.0, 2.0, 164.0, 41.0]]","[[5.0, 144.0, 79.0, 361.0], [295.0, 238.0, 428.0, 430.0]]",INFORM,0.0,0.0,"{""surprise"": 0.5929, ""joy"": 0.1698, ""anger"": 0.1022, ""neutral"": 0.0715, ""disgust"": 0.03, ""sadness"": 0.0291, ""fear"": 0.0045}"
bp_0_111_4,optimists! they greet the panther in triumph not yet achieved!,['suddenly upon entering...'],"[[10.0, 61.0, 107.0, 123.0], [283.0, 4.0, 415.0, 110.0]]","[[3.0, 2.0, 164.0, 41.0]]","[[5.0, 144.0, 79.0, 361.0], [295.0, 238.0, 428.0, 430.0]]",,0.0,0.0,"{""joy"": 0.9012, ""surprise"": 0.0504, ""neutral"": 0.038, ""anger"": 0.0052, ""sadness"": 0.0033, ""fear"": 0.001, ""disgust"": 0.001}"
bp_0_112_0,"you mean he isn't on of us? but, that costume?","['meanwhile, in the area known as the sudan...']","[[6.0, 52.0, 196.0, 108.0], [243.0, 38.0, 480.0, 107.0], [635.0, 5.0, 864.0, 75.0], [716.0, 83.0, 878.0, 200.0], [755.0, 470.0, 887.0, 530.0]]","[[6.0, 6.0, 242.0, 47.0]]","[[73.0, 122.0, 200.0, 273.0], [227.0, 137.0, 348.0, 229.0], [514.0, 23.0, 605.0, 127.0], [645.0, 163.0, 742.0, 284.0], [522.0, 371.0, 625.0, 479.0]]",,-0.3125,0.6875,"{""surprise"": 0.5231, ""disgust"": 0.1875, ""neutral"": 0.1488, ""anger"": 0.0997, ""fear"": 0.0214, ""sadness"": 0.0123, ""joy"": 0.0072}"
bp_0_112_0,"costume, shmostume! i found him crawlong in the desert -- almost dying of fatigue!","['meanwhile, in the area known as the sudan...']","[[6.0, 52.0, 196.0, 108.0], [243.0, 38.0, 480.0, 107.0], [635.0, 5.0, 864.0, 75.0], [716.0, 83.0, 878.0, 200.0], [755.0, 470.0, 887.0, 530.0]]","[[6.0, 6.0, 242.0, 47.0]]","[[73.0, 122.0, 200.0, 273.0], [227.0, 137.0, 348.0, 229.0], [514.0, 23.0, 605.0, 127.0], [645.0, 163.0, 742.0, 284.0], [522.0, 371.0, 625.0, 479.0]]",,0.0,0.0,"{""surprise"": 0.2932, ""disgust"": 0.2551, ""sadness"": 0.154, ""anger"": 0.1077, ""fear"": 0.1044, ""neutral"": 0.0747, ""joy"": 0.0108}"
bp_0_112_0,that goes double for his friend--the guy's not only dehydrated but wounded as well.,"['meanwhile, in the area known as the sudan...']","[[6.0, 52.0, 196.0, 108.0], [243.0, 38.0, 480.0, 107.0], [635.0, 5.0, 864.0, 75.0], [716.0, 83.0, 878.0, 200.0], [755.0, 470.0, 887.0, 530.0]]","[[6.0, 6.0, 242.0, 47.0]]","[[73.0, 122.0, 200.0, 273.0], [227.0, 137.0, 348.0, 229.0], [514.0, 23.0, 605.0, 127.0], [645.0, 163.0, 742.0, 284.0], [522.0, 371.0, 625.0, 479.0]]",,0.0,0.5,"{""disgust"": 0.443, ""sadness"": 0.3486, ""neutral"": 0.1435, ""surprise"": 0.0235, ""anger"": 0.0233, ""fear"": 0.0158, ""joy"": 0.0023}"
bp_0_112_0,poor man! drink some more of this cold milk--it's very refreshing...,"['meanwhile, in the area known as the sudan...']","[[6.0, 52.0, 196.0, 108.0], [243.0, 38.0, 480.0, 107.0], [635.0, 5.0, 864.0, 75.0], [716.0, 83.0, 878.0, 200.0], [755.0, 470.0, 887.0, 530.0]]","[[6.0, 6.0, 242.0, 47.0]]","[[73.0, 122.0, 200.0, 273.0], [227.0, 137.0, 348.0, 229.0], [514.0, 23.0, 605.0, 127.0], [645.0, 163.0, 742.0, 284.0], [522.0, 371.0, 625.0, 479.0]]",,0.012500000000000011,0.775,"{""joy"": 0.4029, ""sadness"": 0.3246, ""neutral"": 0.1824, ""surprise"": 0.0594, ""disgust"": 0.022, ""anger"": 0.007, ""fear"": 0.0016}"
bp_0_112_0,"thank you, miss... you're very kind...","['meanwhile, in the area known as the sudan...']","[[6.0, 52.0, 196.0, 108.0], [243.0, 38.0, 480.0, 107.0], [635.0, 5.0, 864.0, 75.0], [716.0, 83.0, 878.0, 200.0], [755.0, 470.0, 887.0, 530.0]]","[[6.0, 6.0, 242.0, 47.0]]","[[73.0, 122.0, 200.0, 273.0], [227.0, 137.0, 348.0, 229.0], [514.0, 23.0, 605.0, 127.0], [645.0, 163.0, 742.0, 284.0], [522.0, 371.0, 625.0, 479.0]]",,0.78,1.0,"{""joy"": 0.6242, ""neutral"": 0.1553, ""sadness"": 0.1541, ""surprise"": 0.054, ""anger"": 0.0066, ""disgust"": 0.0043, ""fear"": 0.0015}"
