img_id,dialog,narration,dialog_bounding_boxes,narration_bounding_boxes,face_bounding_boxes
1009_9_5,['<ORDER never mind the book!> <INFORM i need an idea fast!>'],['short wave broadcast'],"[[3.0, 15.0, 220.0, 130.0]]","[[154.0, 356.0, 244.0, 422.0]]","[[171.0, 104.0, 259.0, 180.0]]"
1010_33_4,"['<INFORM that way!>', '<THANK thanks!> <YES-NO_QUESTION mind if i borrow this ?>']",[],"[[56.0, 0.0, 308.0, 55.0], [29.0, 54.0, 202.0, 179.0]]",[],"[[180.0, 245.0, 213.0, 293.0], [283.0, 252.0, 306.0, 285.0]]"
1010_45_4,"[""<INFORM he ' s comin ' down but its not cormac!>""]",[],"[[68.0, 27.0, 358.0, 129.0]]",[],"[[170.0, 183.0, 237.0, 246.0]]"
1011_21_5,"['<NOT_CLASSIFIABLE hard krobb>', ""<ORDER red! brown! get ready to jump. can ' t keep it on the road\t!>""]",['with murderous intent the heavy limousin brushed against our light roaoster 7rie to swerve but the road was too narrow .'],"[[7.0, 80.0, 189.0, 165.0], [225.0, 70.0, 526.0, 227.0]]","[[4.0, 0.0, 593.0, 80.0]]","[[69.0, 274.0, 89.0, 296.0], [395.0, 377.0, 413.0, 402.0]]"
1011_42_2,"['<BACKCHANNEL wow!> <WHY_QUESTION the japs are sure scared. what are you up to don ?>', '<INFORM shh i ve got a little arson in my mind\t>']",[],"[[27.0, 2.0, 438.0, 83.0], [426.0, 2.0, 749.0, 93.0]]",[],"[[586.0, 217.0, 624.0, 278.0], [682.0, 282.0, 713.0, 331.0]]"
1012_20_0,['<ORDER be careful with those packages men\t!>'],['a few minutes later'],"[[0.0, 19.0, 205.0, 110.0]]","[[0.0, 0.0, 268.0, 27.0]]","[[82.0, 158.0, 100.0, 192.0]]"
1012_41_3,"['<INFORM the champ!> <INFORM what a story!>', '<WHY_QUESTION how about a picture of you standing over the champ?>', '<INFORM im not interested in publicity!>']",[],"[[0.0, 1.0, 201.0, 99.0], [172.0, 11.0, 469.0, 112.0], [472.0, 51.0, 677.0, 159.0]]",[],"[[150.0, 240.0, 210.0, 318.0], [300.0, 190.0, 360.0, 250.0], [520.0, 240.0, 600.0, 320.0]]"
1013_44_5,"['<INFORM thees drawing ees what we theenk he looks like!>', ""<INFORM if he ' s there ill snap his picture\t!>""]",[],"[[5.0, 20.0, 222.0, 113.0], [209.0, 22.0, 458.0, 101.0]]",[],"[[169.0, 242.0, 202.0, 286.0], [283.0, 187.0, 311.0, 232.0]]"
1014_6_4,"[""<INFORM i feel better now that they put the navy ' s two aces on the case!><INFORM  if another few ships disappear ill be ruined!>"", ""<INFORM well do the best we can mr, jordan but don ' t build up your hopes we have very little to go on so far!>""]",[],"[[7.0, 10.0, 185.0, 160.0], [165.0, 9.0, 283.0, 190.0]]",[],"[[78.0, 186.0, 95.0, 209.0], [154.0, 175.0, 175.0, 199.0]]"
1015_19_5,['<INFORM but i was just counting ten so i wouldnt lose my temper\t!>'],[],"[[252.0, 27.0, 515.0, 208.0]]",[],"[[316.0, 248.0, 385.0, 331.0]]"
1015_21_2,"['<INFORM i understand he comes from a wealthy family\t>', '<FEEDBACK so what .>']",[],"[[87.0, 1.0, 272.0, 120.0], [269.0, 9.0, 369.0, 93.0]]",[],"[[163.0, 135.0, 199.0, 167.0], [235.0, 146.0, 263.0, 170.0]]"
1015_7_0,"[""<INFORM i don ' t think the snake could have reached here yet!>""]",['eanwhile'],"[[24.0, 25.0, 315.0, 177.0]]","[[2.0, 5.0, 238.0, 42.0]]","[[225.0, 266.0, 256.0, 309.0]]"
1016_29_1,"[""<FEEDBACK this is a good idea, don.> <INFORM by the time the fire reaches the powder kegs we'll be able to get a safe distance from the ship.>""]",[],"[[1.0, 36.0, 290.0, 237.0]]",[],"[[316.0, 318.0, 348.0, 352.0]]"
1017_24_3,"['<INFORM laugh, you infidels but when the great flood comes i will be the only survivor!>']",[],"[[12.0, 2.0, 374.0, 149.0]]",[],"[[266.0, 249.0, 300.0, 320.0]]"
1017_9_0,"[""<INFORM there ' s no sense in continuing!><INFORM  he just wont talk rubberface!>"", '<INFORM i know a way to make him talk\t!>']",['hortly after at the mountain hide out'],"[[48.0, 71.0, 376.0, 192.0], [352.0, 63.0, 574.0, 157.0]]","[[0.0, 17.0, 606.0, 75.0]]","[[261.0, 200.0, 318.0, 253.0], [362.0, 277.0, 378.0, 313.0]]"
1018_2_0,"[""<COMMIT if it the last thing i do i ' ll capture singapore sal!\t>"", '<INFORM  i know how you feel about tha female pirate, dc but im afraid i have to interrui your search for her!>']",[],"[[493.0, 35.0, 787.0, 194.0], [803.0, 136.0, 1091.0, 367.0]]",[],"[[433.0, 349.0, 490.0, 447.0], [969.0, 500.0, 1018.0, 561.0]]"
1018_3_1,['<INFORM that must be winslow and pennington now\t!>'],[],"[[85.0, 16.0, 361.0, 150.0]]",[],"[[290.0, 236.0, 316.0, 264.0]]"
1018_8_6,['<INFORM this my friend is a knockout\t!>'],[],"[[332.0, 0.0, 571.0, 124.0]]",[],"[[316.0, 227.0, 357.0, 269.0]]"
1019_2_3,"['<FEEDBACK yes, i am!> <INFORM but i have an awful cold!> <YES-NO_QUESTION would you mind taking my place for the day ?>', '<FEEDBACK why, of course dear!>']",[],"[[3.0, 21.0, 198.0, 232.0], [27.0, 245.0, 159.0, 351.0]]",[],"[[-1.0, -1.0, -1.0, -1.0], [176.0, 238.0, 328.0, 409.0]]"
1019_37_4,['<ORDER halp!>'],[],"[[28.0, 187.0, 193.0, 257.0]]",[],"[[194.0, 280.0, 225.0, 320.0]]"
101_22_1,"['<INFORM we were saved from the gun> <WHY_QUESTION - but what horrible thing is this ?> <WHY_QUESTION how can trees come alive like clutching monsters ?>', '<BACKCHANNEL great scott!> <INFORM it must be that curse!> <INFORM the the story is true!>']","['he uncanny phenomenon continues saving the lives of ttom and mayda, but striking terror to their hearts! great scott! it']","[[0.0, 116.0, 490.0, 291.0], [454.0, 90.0, 804.0, 276.0]]","[[0.0, 2.0, 841.0, 131.0]]","[[233.0, 414.0, 331.0, 560.0], [344.0, 363.0, 468.0, 495.0]]"
1020_31_4,"[""<FEEDBACK sure we are!> <INFORM if not then bing and i aren't going to get along good with each other either...> <INFORM if you know what i mean!>"", ""<INFORM why, there's bing with marla!>""]",[],"[[26.0, 1.0, 344.0, 144.0], [154.0, 113.0, 344.0, 209.0]]",[],"[[-1.0, -1.0, -1.0, -1.0], [-1.0, -1.0, -1.0, -1.0]]"
1021_19_6,"[""<INFORM this comes as a surprise to me, dotty, but i ' m having a good time!>"", '<FEEDBACK that make two of us jack .> <INFORM this is fun!>']",[],"[[22.0, 0.0, 384.0, 80.0], [310.0, 9.0, 478.0, 100.0]]",[],"[[121.0, 105.0, 176.0, 172.0], [263.0, 173.0, 292.0, 221.0]]"
1021_22_2,"['<NOT_CLASSIFIABLE why, you cheap sorehead, i ought to>']",[],"[[58.0, 15.0, 320.0, 85.0]]",[],"[[95.0, 154.0, 144.0, 210.0]]"
1022_30_5,"['<WHY_QUESTION which one you betting on, mac ?>', '<INFORM none in this race!>']",['section seen'],"[[49.0, 41.0, 271.0, 115.0], [47.0, 0.0, 564.0, 49.0]]","[[11.0, 103.0, 187.0, 183.0]]","[[112.0, 289.0, 166.0, 344.0], [222.0, 290.0, 264.0, 333.0]]"
1022_9_6,"[""<ORDER d-deliver his note to the address on it!><OFFER here ' s a dollar!><INFORM  there ll be another for you when you do it!>"", '<FEEDBACK gee two bucks!> <THANK thanks mister!> <INFORM ill sure do it in a jiffy and be back!\t>']",[],"[[5.0, 0.0, 277.0, 177.0], [244.0, 0.0, 492.0, 142.0]]",[],"[[67.0, 247.0, 143.0, 306.0], [253.0, 287.0, 304.0, 366.0]]"
1023_21_1,"[""<INFORM them ' s ghosts ... if i know my self at all!> <INFORM but, brother, what ghastly looking creatures they are!> <INFORM they ' re almost like a nightmare ... hmmm ... maybe they are!><INFORM  ill soon see!>""]",[],"[[1.0, 0.0, 316.0, 122.0]]",[],"[[158.0, 208.0, 195.0, 242.0]]"
1025_26_2,['<INFORM durango bested me fair and square .><COMMIT  but the next time our trails cross ...!>'],"['rorced to flee from dead man dam, the red scorpion walksa mountain trail his headhang ing with shame ... durango']","[[45.0, 67.0, 325.0, 169.0]]","[[2.0, 0.0, 326.0, 82.0]]","[[129.0, 217.0, 151.0, 234.0]]"
1025_29_5,"[""<INFORM don ' t have to worry about the scorpion dry - gulching me!> <INFORM he has too, much vanity to wriggle out of a face - to - face duel with the durango kid >""]",['durango grimly follow 5 the killers trail'],"[[0.0, 39.0, 297.0, 164.0]]","[[12.0, 0.0, 297.0, 45.0]]","[[167.0, 207.0, 182.0, 223.0]]"
1026_1_5,"[""<FEEDBACK lost!> <INFORM i must have traveled in a circle--> <INFORM i know i've been at this spot before!> <INFORM i'm so exhausted but got to go on-- got to...>""]","['but at last...', 'ut dan brand ished relent- ssly westward old hatred in hist heart. he crossed rivers, great shaggy mountains - he bored through mighty forests along nknown trails, only an iron will for vengeance kept him going - for his town - bred muscles and tea-party ways were puny weapons against the might of the leemnts and the trackless vastness of the wilderness...']","[[210.0, 3.0, 535.0, 150.0]]","[[200.0, 1.0, 370.0, 33.0], [8.0, 5.0, 225.0, 471.0]]","[[271.0, 144.0, 311.0, 184.0]]"
1027_23_5,['<BACKCHANNEL gnnng! enough! enough!>'],[],"[[0.0, 26.0, 292.0, 193.0]]",[],"[[177.0, 228.0, 280.0, 324.0]]"
1027_28_4,"['<INFORM  too bad we just caught y "" fox "" this commotion will surely scare dan brand away. but i guess get youre a big enough catch for one night .>', '<INFORM you wont get anything out of me!>']",['inside the well'],"[[0.0, 66.0, 458.0, 315.0], [347.0, 136.0, 664.0, 288.0]]","[[5.0, 11.0, 367.0, 77.0]]","[[135.0, 474.0, 197.0, 529.0], [483.0, 425.0, 520.0, 462.0]]"
1027_32_2,"[""<ORDER hurry-load this cannon and fire!> <INFORM we'll blast them right out of the harbor!>""]",[],"[[96.0, 182.0, 519.0, 352.0]]",[],"[[422.0, 432.0, 498.0, 507.0]]"
1027_6_0,"['<INFORM and now, boys well have some fun with durango >']",['a few minutes later d'],"[[45.0, 121.0, 439.0, 267.0]]","[[38.0, 60.0, 511.0, 120.0]]","[[353.0, 410.0, 382.0, 449.0]]"
1027_8_5,"['<INFORM so, you must have missed the last lesson student>', '<NOT_CLASSIFIABLE give you>']",['and so...'],"[[164.0, 0.0, 772.0, 86.0], [987.0, 62.0, 1080.0, 182.0]]","[[840.0, 5.0, 1080.0, 72.0]]","[[343.0, 223.0, 477.0, 356.0], [-1.0, -1.0, -1.0, -1.0]]"
1028_15_0,"['<INFORM you sure are making a mistake!> <ORDER drop that gun, mister - and get your hands up everybody!>', '<BACKCHANNEL gulp!>']",[],"[[0.0, 25.0, 423.0, 255.0], [335.0, 140.0, 552.0, 254.0]]",[],"[[-1.0, -1.0, -1.0, -1.0], [170.0, 399.0, 230.0, 511.0]]"
1028_18_4,"['<NOT_CLASSIFIABLE dad!\t>', '<NOT_CLASSIFIABLE jim! oh, jim!\t>']",[],"[[117.0, 35.0, 294.0, 158.0], [394.0, 11.0, 625.0, 159.0]]",[],"[[157.0, 484.0, 214.0, 605.0], [423.0, 389.0, 489.0, 568.0]]"
1029_14_1,"[""<INFORM but i ' m in no mood to answer right now!>"", '<BACKCHANNEL gnnng!\t>', '<BACKCHANNEL YIYIYI!>']",[],"[[3.0, 30.0, 288.0, 243.0], [337.0, 58.0, 566.0, 171.0], [608.0, 51.0, 810.0, 170.0]]",[],"[[298.0, 379.0, 369.0, 474.0], [468.0, 305.0, 547.0, 426.0], [650.0, 349.0, 745.0, 434.0]]"
1029_30_2,"[""<INFORM i said i'd go alone now!> <INFORM i don ' t need you any more, durango your mission is accomplished!\t>"", '<INFORM sorry mister but my mission is not accomplished\t!>']",[],"[[18.0, 46.0, 537.0, 270.0], [553.0, 32.0, 936.0, 233.0]]",[],"[[234.0, 424.0, 263.0, 447.0], [598.0, 275.0, 625.0, 311.0]]"
1029_4_4,['<BACKCHANNEL choooo!\t>'],[],"[[79.0, 23.0, 401.0, 218.0]]",[],"[[156.0, 709.0, 347.0, 897.0]]"
102_15_6,"[""<INFORM no tracks!> <INFORM no bleedin' tracks!>"", ""<FEEDBACK we'll find 'em,> <INFORM i tell you!> <ORDER shut up!>""]",['four hours passed -- four hours in a world in which nothing moved but the mist! mist with the faint acrid touch of smoke -- the smoke of powdered ivory!'],"[[1.0, 97.0, 150.0, 175.0], [225.0, 96.0, 393.0, 178.0]]","[[1.0, 9.0, 465.0, 89.0]]","[[85.0, 176.0, 147.0, 240.0], [252.0, 182.0, 331.0, 259.0]]"
102_37_4,['<INFORM it was the eel ... the eel!><INFORM  he has struck once again ... to save us ... to protect us from harm ... and to claim his treasure for his own!><THANK  we give thanks to the eel!>'],[],"[[0.0, 0.0, 470.0, 120.0]]",[],"[[160.0, 179.0, 335.0, 370.0]]"
102_38_1,"[""<INFORM dont be discouraged rise an ' shine theres another kind of square so don ' t recline!>""]",[],"[[187.0, 3.0, 448.0, 109.0]]",[],"[[121.0, 48.0, 152.0, 90.0]]"
102_46_6,"[""<FEEDBACK it wuz a phony!> <INFORM marty took a dive gilmo-- didn't lay a glove on im>""]",[],"[[164.0, 8.0, 395.0, 136.0]]",[],"[[106.0, 138.0, 167.0, 203.0]]"
1030_25_2,"[""<INFORM and here ' s one debt that i ' ve got to pay back\t>""]",[],"[[9.0, 71.0, 564.0, 222.0]]",[],"[[294.0, 290.0, 341.0, 363.0]]"
1030_6_1,"['<POLITENESS_FORMULA sorry, gents-> <INFORM but nobody touches this mask!>']",[],"[[110.0, 10.0, 475.0, 139.0]]",[],"[[523.0, 169.0, 631.0, 309.0]]"
1032_18_2,['<BACKCHANNEL aargh>'],"['six - shooter spits lead with deadly accuracy and the owlhoots break for their mounts, shooting as they go!']","[[861.0, 33.0, 1081.0, 160.0]]","[[44.0, 0.0, 269.0, 721.0]]","[[978.0, 381.0, 1039.0, 497.0]]"
1032_30_6,"['<COMMIT we must chance it, tipi >']",[],"[[33.0, 11.0, 439.0, 108.0]]",[],"[[332.0, 227.0, 388.0, 290.0]]"
1032_5_5,['<INFORM sounded like a scream coming from that shack\t>'],[],"[[242.0, 11.0, 637.0, 229.0]]",[],"[[280.0, 303.0, 331.0, 358.0]]"
1033_21_1,"['<BACKCHANNEL aaargh!>', ""<ORDER dismount and form a skirmish line! ><INFORM it ' s a solitary sniper!> <INFORM we have nothing to fear!>""]",[],"[[30.0, 72.0, 283.0, 212.0], [284.0, 0.0, 651.0, 239.0]]",[],"[[280.0, 373.0, 311.0, 407.0], [569.0, 449.0, 629.0, 524.0]]"
1033_21_5,"[""<INFORM and now there ' s none!>"", '<BACKCHANNEL mppf! choke e>']",[],"[[0.0, 7.0, 239.0, 145.0], [242.0, 8.0, 459.0, 129.0]]",[],"[[16.0, 322.0, 76.0, 480.0], [141.0, 400.0, 306.0, 573.0]]"
1034_21_3,"[""<INFORM that ' s not a goo enough reaso for endangerin men ' s lives!><ORDER  moun up muley!> <INFORM , wer going to have heart - to - heaf talk with bra horton right now!>""]",[],"[[10.0, 1.0, 327.0, 417.0]]",[],"[[164.0, 599.0, 177.0, 611.0]]"
1034_3_6,"['<YES-NO_QUESTION you hear somebody yell jist then, durango ?>', ""<INFORM sounded like muley!> <INFORM let ' s ride  up and see what ' s wrong!>""]",['earby two horsemen passin through the territory rein and listen intently'],"[[25.0, 158.0, 308.0, 378.0], [228.0, 168.0, 589.0, 387.0]]","[[0.0, 12.0, 580.0, 185.0]]","[[100.0, 533.0, 142.0, 572.0], [279.0, 451.0, 314.0, 490.0]]"
1034_5_5,"[""<INFORM the deputy ' s in no shape to ride with us muley!> <INFORM we'll backtrain him to where the sheriff ' s plenty of time before the rodeq starts ,>""]",['aleman with the depitybadg has barely finished his story'],"[[0.0, 166.0, 560.0, 424.0]]","[[0.0, 22.0, 554.0, 168.0]]","[[306.0, 568.0, 377.0, 651.0]]"
1035_1_1,['<INFORM what you need as button hole maker like this ... it costs only $100 and fits on your sewing machine --- and its so simple to operate!>'],[],"[[8.0, 0.0, 293.0, 74.0]]",[],"[[91.0, 93.0, 132.0, 139.0]]"
1037_8_4,"[""<INFORM it's only a rash powder i spread over the city.> <INFORM i scared them into selling real estate agent buy it for me.> <INFORM this entire town stands on a huge copper mine which wanted.>""]",[],"[[17.0, 12.0, 337.0, 243.0]]",[],"[[35.0, 252.0, 299.0, 562.0]]"
1038_37_8,"['<THANK thank you mr.coyne thank...> <BACKCHANNEL ooh...>', '<INFORM the case has started, terry.> <ORDER come on!>']","[""at the very portals of the detective's office... long grasping hands reach out.""]","[[125.0, 80.0, 349.0, 179.0], [217.0, 163.0, 432.0, 275.0]]","[[11.0, 0.0, 458.0, 78.0]]","[[79.0, 182.0, 148.0, 257.0], [313.0, 334.0, 372.0, 383.0]]"
103_43_1,['<BACKCHANNEL ohh!>'],[],"[[42.0, 2.0, 202.0, 88.0]]",[],"[[32.0, 197.0, 119.0, 298.0]]"
103_46_7,"[""<INFORM i know it ' s late, mustapha ahmed but ive got to have a look around your shop. .. tonight!> <INFORM ill explain when you get there ...><ORDER  but for the love of pete, dont waste any time!>""]",['meanwhile .'],"[[0.0, 14.0, 394.0, 176.0]]","[[0.0, 1.0, 215.0, 29.0]]","[[255.0, 309.0, 321.0, 402.0]]"
1041_44_5,"[""<FEEDBACK ach himmel....> <FEEDBACK it's dot mad man!>""]",[],"[[48.0, 48.0, 351.0, 122.0]]",[],"[[14.0, 126.0, 280.0, 510.0]]"
1042_41_0,"['<INFORM hope you have better luck with this one than you had with the others.>', ""<FEEDBACK yes--> <INFORM but if she lives i'll have to kill her anyway.>""]",[],"[[4.0, 5.0, 347.0, 152.0], [316.0, 2.0, 508.0, 140.0]]",[],"[[179.0, 115.0, 265.0, 214.0], [314.0, 185.0, 409.0, 286.0]]"
1043_7_3,['<INFORM maybe your hunch is right!>'],['sleepy hollow'],"[[167.0, 130.0, 377.0, 232.0]]","[[479.0, 437.0, 585.0, 531.0]]","[[381.0, 265.0, 399.0, 280.0]]"
1045_8_6,"['<FEEDBACK wow!> <INFORM he crashed through the building!>', ""<INFORM i'll be back to explain some day, pal!>""]",[],"[[35.0, 0.0, 273.0, 74.0], [354.0, 34.0, 557.0, 108.0]]",[],"[[48.0, 75.0, 59.0, 86.0], [376.0, 151.0, 437.0, 214.0]]"
