id,hash_id,url,animals,consequences,climateaction,type,setting,source_file,premises,conclusions,notes,blip2_caption,split
24,7e510a57e50a8ae5511fa00d0f8e90c9089992e159fb487cca084db42f94152b,https://pbs.twimg.com/media/EjM3127UYAAHgje.jpg,No animals,Rising temperature,Other,Photo,Residential/commercial,climate_ct_new.json,,,,,
25,87292244665bc800d4f26c93a77b344ff6c4bd4f27cdfad49043e4fa0d516710,https://pbs.twimg.com/media/EMhv5qAWwAAJroN?format=jpg&name=small,No animals,Sea level rise,No climate action,Photo,Residential/commercial,climate_ct_new.json,,,,,
28,e5f6a165a70382b0dfafdd3d22b1dea086dfe27a7b333755e8d6f3a25d64fd44,https://pbs.twimg.com/media/FRksVbEXMAEYlMg.jpg,Land mammal,Drought,No climate action,Photo,Desert,climate_ct_new.json,,,,,
29,fb0fb41bdf73ecda4c9e9b0022c20a965c67f65bdd8fa9e8d2aa05df16393da7,https://pbs.twimg.com/media/EhjkCa6WoAE-VDe.jpg,No animals,Wildfires,No climate action,Photo,Residential/commercial,climate_ct_new.json,,,,,
30,f8f402a42f99e6ffa1c287655ff1aa8db6b583cb13abe12d9b639a43833c722f,https://pbs.twimg.com/media/EEFUos2U8AA9bqL.jpg,No animals,Floods,No climate action,Photo,"Ocean, coastal",climate_ct_new.json,,,,,
31,d2a3c8b31aec04396139f18827ae96b881cba5cc08f9fa1bd0062d3fa1e773e4,https://pbs.twimg.com/media/E2ZN2fUXIAMGGuy.jpg,No animals,Sea level rise,No climate action,Collage,"Ocean, coastal",climate_ct_new.json,,,,,
32,6623a64240a50783244c6d8f978ee42820c35d035dc86c447e229debb148d929,https://pbs.twimg.com/media/Fi_DFPpXkAYWVUT.jpg,No animals,Drought,No climate action,Photo,Industrial,climate_ct_new.json,,,,,
34,8ff33afaa22c2cf021046fc5bfa62967570e873953eda7b9fd2cde2a0ec22df6,https://pbs.twimg.com/media/D8OT0mGV4AAcIUb?format=jpg&name=small,No animals,Sea level rise,No climate action,Photo,Residential/commercial,climate_ct_new.json,,,,,
36,9eca352ae6aeb75c95b513dd07a131fc00fcdb9b98b2784972a04547f85f2b1a,https://pbs.twimg.com/media/EE28LCKWkAA_K1t.jpg,No animals,Sea level rise,No climate action,Photo,"Ocean, coastal",climate_ct_new.json,,,,,
43,3b5b6feeac00611c9022d7f1e2ad45007e5cdc642aee79aadaba1b47b34680a5,https://pbs.twimg.com/media/FOyRT4nWYAY68HX.jpg,No animals,Drought,No climate action,Photo,Desert,climate_ct_new.json,,,,,
45,426623cb4b2ba9da4026987a668286a05c5813c1ec1ee1a5f5e8bf90f57d8bc8,https://pbs.twimg.com/media/E5VaYkCVIAAysI8.jpg,No animals,Rising temperature,Other,Collage,Residential/commercial,climate_ct_new.json,,,,,
48,5969160c90e88f69cae24ac49758647c0c731c674db0d70c688cafbbdc18d89b,https://pbs.twimg.com/media/FMo8ciRVUAQqqn8.jpg,No animals,Floods,Other,Photo,Residential/commercial,climate_ct_new.json,,,,,
49,7f675471df128c5af10d66564607e5089487ee20945b34771c75632561b76e95,https://pbs.twimg.com/media/E5zazAEX0AMN4Nv.jpg,No animals,Floods,Other,Photo,Residential/commercial,climate_ct_new.json,,,,,
51,8faca8cdd7c3b8cc79ecbda2fefe769d8ab9a85d54b557ad6be1a0243d5e5227,https://pbs.twimg.com/media/Dwyc00SWwAAwZdJ.jpg,No animals,Floods,No climate action,Photo,"Ocean, coastal",climate_ct_new.json,,,,,
52,5dec41c287bed57496f1b8aa8df63935751350a0f791324338770bd67464aeb2,https://pbs.twimg.com/media/EhjkCXuWAAYF5tO.jpg,No animals,Wildfires,Other,Photo,"Forest, jungle",climate_ct_new.json,,,,,
54,4754e77809b05dbc1e22861dcbf78b8c07e50fe4b85afc8c270ad464a3b82bf7,https://pbs.twimg.com/media/FD52IglXMAY9jIy.jpg,No animals,Rising temperature,No climate action,Infographic,Desert,climate_ct_new.json,,,,,
55,a61be16c4c7d6263c02ef4f7690f83aaba0b41c5512ab09d0171259b4230ca15,https://pbs.twimg.com/media/EhkM_b3XcAEEzJn.jpg,No animals,Wildfires,No climate action,Photo,"Forest, jungle",climate_ct_new.json,,,,,
58,84a567c5a83cee702652f90703d8c652263214ed655edc0ebe190106bfa72617,https://pbs.twimg.com/media/E40rBSyXMAQM970.jpg,No animals,Floods,No climate action,Photo,Residential/commercial,climate_ct_new.json,,,,,
64,fcfab040d7abad49f827b76455eb3adcfd38ede3ab312502ef7b290fed898b84,https://pbs.twimg.com/media/FRksVa1XIAIwanw.jpg,No animals,Drought,Other,Photo,Desert,climate_ct_new.json,,,,,
66,7f21f1fe7c3b1057f9633530f353f811a2e470c1f96a0423b72f94bf9efdb0dd,https://pbs.twimg.com/media/EcccmLMWkAUWuYF.jpg,No animals,Human rights,No climate action,Screenshot,"Arctic, Antarctic",climate_ct_new.json,,,,,
67,9dd9b721198fe99dc86a332c38b03c82d29b3692a4c02d4c0070977a244bd3c8,https://pbs.twimg.com/media/EhhUS_PUcAAn2Uy.jpg,No animals,Wildfires,Other,Photo,Residential/commercial,climate_ct_new.json,,,,,
68,9fdb02c56dc82e230e05a62e6c893dbc320067dd9ae2cea3708ba95542e22069,https://pbs.twimg.com/media/FZffoBlWIAQRt0E.jpg,No animals,Floods,No climate action,Photo,Industrial,climate_ct_new.json,,,,,
69,1d54fa6f7e922e3cb82bff5bbbbc3224576dfaea1e0d736edc3e5ad55ceae009,https://pbs.twimg.com/media/Evn5E29WYAAhgu6.jpg,No animals,Rising temperature,No climate action,Data Visualization,Outer space,climate_ct_new.json,,,,,
70,1c388ed6ef795ef85c0095ef651e1d8e68db23357f1229341fa2686ed8b94d24,https://pbs.twimg.com/media/EMRqGHkU0AEjTFD.jpg,No animals,Wildfires,Other,Photo,"Forest, jungle",climate_ct_new.json,,,,,
71,5232c010811db0c32e9135f3e75c2729cf3aab6b84bd19fa47c9547ff47b897e,https://pbs.twimg.com/media/FhHh_6uagAIGc-b.jpg,No animals,Human rights,No climate action,Photo,Desert,climate_ct_new.json,,,,,
72,3ceb99f94afa61aa7646cd4df71e9a5de8270dbb3af6fce8f473cff7adcdf7c1,https://pbs.twimg.com/media/EgEqHvUU4AAJGLU.jpg,No animals,Wildfires,No climate action,Photo,"Forest, jungle",climate_ct_new.json,,,,,
75,28d7d4def0089dd2c0f8d1e6c33a8be54bcd9f24233ef9db322f5e925fd2a558,https://pbs.twimg.com/media/Fd6NOxtX0AA4Pm-.jpg,No animals,Floods,No climate action,Photo,Residential/commercial,climate_ct_new.json,,,,,
76,a6ee5d265c2a56d8ab1f49c561c0bd0940f49c94c58e5ee4c1cce8f218f492c4,https://pbs.twimg.com/media/ExKEtbYXIAEm6-C.jpg,Land mammal,Floods,No climate action,Photo,"Ocean, coastal",climate_ct_new.json,,,,,
77,55e0bfada0f41ff7de9fb9164d2f4f4153ce733d1ac54a554fb0a8f2e473f340,https://pbs.twimg.com/media/E40rBSrWUAA4pa4.jpg,No animals,Floods,No climate action,Photo,Residential/commercial,climate_ct_new.json,,,,,
79,a8d792616dcb8bb76447d88637a67eb618be6ab8c5b4add7f155353d82163907,https://pbs.twimg.com/media/FJKfuNMXIAIhyJJ.jpg,No animals,Melting Ice,Other,Collage,"Arctic, Antarctic",climate_ct_new.json,,,,,
84,5c1bc63fa1a80808c33e66b8b6fd5c2c86451e97eeb9ded6351167daead9ebb5,https://pbs.twimg.com/media/EI_uhMrW4AAg3-O.jpg,No animals,Sea level rise,Other,Photo,Residential/commercial,climate_ct_new.json,,,,,
85,9d8eac9aebd8622b628d60787b5122866b1dc016fb064a5b13b3063f17e497ab,https://pbs.twimg.com/media/Dw-qG_xUcAEk5KD.jpg,No animals,Floods,No climate action,Photo,"Ocean, coastal",climate_ct_new.json,,,,,
86,b01a5a7d2a92f3e61c498ea86e34986b50237bb5e3661ae0fc67786def8974c0,https://pbs.twimg.com/media/EWOFf_FU0AEKM2N.jpg,Polar bear,Biodiversity loss,No climate action,Photo,"Arctic, Antarctic",climate_ct_new.json,,,,,
89,953c9e6d1d5e582ab4f99429ae9ab8fa93babfa5da9b64427227078a3196ced6,https://pbs.twimg.com/media/D6Ovn07XoAEBuN2.jpg,Insects,Biodiversity loss,No climate action,Illustration,Residential/commercial,climate_ct_new.json,,,,,
91,a12f23461b19a6d84a42869ab4405a6e3c085d4313444e8741d8907bbce74d6c,https://pbs.twimg.com/media/ErgS88qVcAEaOhx.jpg,No animals,Human rights,No climate action,Photo,"Ocean, coastal",climate_ct_new.json,,,,,
