img_id,dialog,narration,dialog_bounding_boxes,narration_bounding_boxes,face_bounding_boxes
bp_0_108_3,"['<INFORM death will be swift, zuni!> <INFORM that disguise can neither hide you nor spare you!>', ""<ORDER keep him at bay, cousin!> <INFORM i'm almost ready!>"", ""<FEEDBACK that's small comfort, dolt!> <INFORM he's tearing my arms off!>""]",[],"[[5.0, 3.0, 154.0, 107.0], [174.0, 2.0, 294.0, 88.0], [299.0, 1.0, 429.0, 93.0]]",[],"[[24.0, 107.0, 107.0, 187.0], [214.0, 85.0, 269.0, 143.0], [333.0, 80.0, 419.0, 147.0]]"
bp_0_109_4,"['<YES-NO_QUESTION joshua itobo, are you injured?>', '<FEEDBACK it seems impossible that any of us should have survived!>']",['a moment of stunned silence follows the fading echoes of violence...'],"[[9.0, 51.0, 193.0, 94.0], [206.0, 52.0, 418.0, 123.0]]","[[3.0, 7.0, 433.0, 45.0]]","[[-1.0, -1.0, -1.0, -1.0], [358.0, 112.0, 435.0, 208.0]]"
bp_0_109_5,"['<INFORM but we did!><INFORM  your plan was perfection itself!>', '<INFORM it was an act of madness, carried out by four unfit for battle!>', '<INFORM you mean four of will and courage!>']",[],"[[2.0, 7.0, 153.0, 78.0], [171.0, 8.0, 309.0, 127.0], [318.0, 19.0, 432.0, 98.0]]",[],"[[62.0, 83.0, 128.0, 144.0], [154.0, 113.0, 212.0, 186.0], [354.0, 108.0, 415.0, 169.0]]"
bp_0_10_5,"[""<INFORM he can't keep his eye on all off us!!><ORDER pick him off with a careful shot!!>"", ""<FEEDBACK he moves like a jungle cat, highness, but i'll do my best!>""]",[],"[[3.0, 2.0, 226.0, 88.0], [254.0, 4.0, 449.0, 84.0]]",[],"[[31.0, 145.0, 182.0, 347.0], [233.0, 115.0, 433.0, 270.0]]"
bp_0_110_0,"[""<INFORM i don't know what possessed me to call upon the ruling family in this crisis!> <ORDER look at these expenditures!> <INFORM costumes-- smoke guns-- chemicals-- adhesive-->"", ""<INFORM they've been very secretive these past days.>""]","[""meanwhile, in the administrative office of n'gassi, who governs in t'challa's absence...""]","[[5.0, 70.0, 234.0, 260.0], [263.0, 51.0, 430.0, 111.0]]","[[3.0, 5.0, 433.0, 67.0]]","[[194.0, 129.0, 236.0, 178.0], [369.0, 105.0, 419.0, 158.0]]"
bp_0_110_4,"['<INFORM how i wish for his swift return!>', '<INFORM there has been fighting in the streets!> <NOT_CLASSIFIABLE perhaps the militia has finally finished jakarra!>', ""<INFORM we'd have had the news at this hour, noble one...>""]",[],"[[9.0, 3.0, 187.0, 43.0], [13.0, 59.0, 189.0, 151.0], [243.0, 5.0, 363.0, 85.0]]",[],"[[260.0, 163.0, 321.0, 225.0], [259.0, 162.0, 319.0, 218.0], [348.0, 83.0, 386.0, 139.0]]"
bp_0_111_0,"[""<FEEDBACK wrong, n'gassi!> <INFORM your unlikely candidates for t'challa's job have done his work!>"", '<INFORM we are proud to say that the task was accomplished with high risk and minimal injury.>', ""<INFORM joshus itobo refers to my backside... it's really too well padded to suffer badly in a fall!>"", ""<FEEDBACK in short, you old leopard..> <INFORM we've brought in jakarra! and put an end to his rampage!>""]",[],"[[4.0, 2.0, 247.0, 114.0], [252.0, 61.0, 451.0, 179.0], [451.0, 5.0, 693.0, 119.0], [706.0, 7.0, 879.0, 141.0]]",[],"[[107.0, 77.0, 236.0, 234.0], [285.0, 219.0, 408.0, 339.0], [486.0, 105.0, 594.0, 220.0], [727.0, 130.0, 853.0, 261.0]]"
bp_0_111_3,"['<ORDER behold, wise one!> <INFORM the riddle of jakarra is now ours to solve without danger to others!>', ""<FEEDBACK there's only one way to solve this!> <INFORM he must be destroyed at once--!>""]",[],"[[0.0, 2.0, 203.0, 104.0], [241.0, 11.0, 428.0, 89.0]]",[],"[[92.0, 167.0, 157.0, 240.0], [249.0, 133.0, 349.0, 222.0]]"
bp_0_111_4,"[""<INFORM it's the rulling family--!>"", '<FEEDBACK optimists!> <INFORM they greet the panther in triumph not yet achieved!>']",['suddenly upon entering...'],"[[10.0, 61.0, 107.0, 123.0], [283.0, 4.0, 415.0, 110.0]]","[[3.0, 2.0, 164.0, 41.0]]","[[5.0, 144.0, 79.0, 361.0], [295.0, 238.0, 428.0, 430.0]]"
bp_0_112_0,"[""<YES-NO_QUESTION you mean he isn't on of us?> <WHY_QUESTION but, that costume?>"", '<FEEDBACK costume, shmostume!> <INFORM i found him crawlong in the desert -- almost dying of fatigue!>', ""<FEEDBACK that goes double for his friend--><INFORM the guy's not only dehydrated but wounded as well.>"", ""<POLITENESS_FORMULA poor man!> <INFORM drink some more of this cold milk--it's very refreshing...>"", ""<THANK thank you, miss...> <POLITENESS_FORMULA you're very kind...>""]","['meanwhile, in the area known as the sudan...']","[[6.0, 52.0, 196.0, 108.0], [243.0, 38.0, 480.0, 107.0], [635.0, 5.0, 864.0, 75.0], [716.0, 83.0, 878.0, 200.0], [755.0, 470.0, 887.0, 530.0]]","[[6.0, 6.0, 242.0, 47.0]]","[[73.0, 122.0, 200.0, 273.0], [227.0, 137.0, 348.0, 229.0], [514.0, 23.0, 605.0, 127.0], [645.0, 163.0, 742.0, 284.0], [522.0, 371.0, 625.0, 479.0]]"
bp_0_113_4,"[""<FEEDBACK but, we've been instucted to keep you here!><WHY_QUESTION why not relax and watch us shoot this film.>"", ""<INFORM by the sacred panther --you've created another world in this desert!><INFORM it's fantactic!>""]",[],"[[2.0, 4.0, 310.0, 70.0], [197.0, 84.0, 392.0, 179.0]]",[],"[[-1.0, -1.0, -1.0, -1.0], [48.0, 86.0, 424.0, 418.0]]"
bp_0_114_1,"['<INFORM as you can see, we lean heavily on costumes and specialized equipment!>', ""<INFORM i like your fleet of trucks and jeeps.> <INFORM that's a fair-sized motor pool.>""]",[],"[[25.0, 2.0, 206.0, 92.0], [254.0, 6.0, 429.0, 86.0]]",[],"[[105.0, 101.0, 152.0, 142.0], [209.0, 90.0, 244.0, 130.0]]"
bp_0_116_0,"['<INFORM jiru merely voices my own fears!> <INFORM this is not a common patient-- but an unknown force of mounting power!>', ""<FEEDBACK that's true...> <INFORM there are definite signs of a rising energy level!>"", ""<YES-NO_QUESTION don't you see?> <INFORM jakarra is no longer human!>""]",[],"[[7.0, 5.0, 163.0, 159.0], [190.0, 4.0, 410.0, 73.0], [263.0, 62.0, 433.0, 139.0]]",[],"[[29.0, 179.0, 125.0, 315.0], [142.0, 129.0, 283.0, 282.0], [315.0, 130.0, 419.0, 256.0]]"
bp_0_116_4,"['<ORDER i say destroy him before he regains his senses!>', ""<FEEDBACK you forget that i'm a doctor, n'gassi!> <INFORM i cannot take a life!>"", '<INFORM let him live--and we all die!>']",['at that very moment...'],"[[6.0, 35.0, 161.0, 105.0], [257.0, 19.0, 430.0, 107.0], [270.0, 110.0, 432.0, 154.0]]","[[5.0, 2.0, 245.0, 30.0]]","[[12.0, 112.0, 60.0, 161.0], [201.0, 108.0, 252.0, 159.0], [324.0, 133.0, 382.0, 190.0]]"
bp_0_117_2,"[""<INFORM mighty t'challa would never have staked the lives of his people on such a foolish hope!>"", '<COMMIT we must prepare for possible disaster!>', ""<FEEDBACK i believe you're overdramatizing the risks, n'gassi!> <COMMIT i'll keep him under control until a cure is found.>""]",[],"[[3.0, 3.0, 206.0, 94.0], [98.0, 103.0, 210.0, 202.0], [217.0, 6.0, 428.0, 110.0]]",[],"[[216.0, 206.0, 252.0, 260.0], [218.0, 206.0, 253.0, 262.0], [280.0, 225.0, 319.0, 261.0]]"
bp_0_119_3,"[""<INFORM i didn't expect this kind of pursuit...><INFORM but it may be more to my advantage than thiers.>""]",[],"[[15.0, 1.0, 318.0, 75.0]]",[],"[[263.0, 56.0, 351.0, 137.0]]"
bp_0_119_5,['<INFORM i am your prisoner!> <ORDER come and get me!>'],[],"[[84.0, 8.0, 208.0, 80.0]]",[],"[[110.0, 108.0, 150.0, 154.0]]"
bp_0_11_2,['<POLITENESS_FORMULA sorry about this!>'],"['risking swift disintegration, the black panther leaps outward and strikes hard with unmatched speed!']","[[6.0, 138.0, 77.0, 214.0]]","[[5.0, 5.0, 423.0, 114.0]]","[[80.0, 154.0, 164.0, 228.0]]"
bp_0_120_0,"[""<ORDER surrender to us!> <INFORM you're our prisoner!>"", '<FEEDBACK that remains to be seen, gentlemen-->', ""<INFORM if the sudanese authorities want me for questioning, they'll have to wait for a more favorable time!>"", ""<FEEDBACK don't be a fool!> <INFORM we can shoot you for resisting arrest!>""]","['and, it is written in the sacred records of the wakandas, that there will come a day when a self-defiled creature of power shall enter the great vibranium mound and cause a never-ending sound of doom! on that day--']","[[76.0, 283.0, 286.0, 396.0], [350.0, 236.0, 517.0, 308.0], [532.0, 235.0, 680.0, 420.0], [758.0, 572.0, 875.0, 738.0]]","[[13.0, 11.0, 873.0, 69.0]]","[[13.0, 423.0, 100.0, 500.0], [331.0, 378.0, 422.0, 520.0], [329.0, 377.0, 419.0, 518.0], [551.0, 524.0, 701.0, 658.0]]"
bp_0_121_2,['<INFORM to shot the black panther is to strike at the wind!>'],[],"[[5.0, 5.0, 177.0, 97.0]]",[],"[[104.0, 89.0, 183.0, 203.0]]"
bp_0_122_5,"['<INFORM those two will blister the air with some choice phrases when they awaken!>', ""<INFORM but i'll be well out of earshot when that moment comes!>""]",[],"[[4.0, 7.0, 181.0, 107.0], [266.0, 9.0, 420.0, 104.0]]",[],"[[222.0, 17.0, 289.0, 104.0], [222.0, 15.0, 287.0, 101.0]]"
bp_0_123_0,"[""<INFORM he's gone!> <INFORM jakarra's broken out of his fortified chamber!>"", '<INFORM the cursed one has the power of fifty men!>', ""<INFORM i tried to warn the rulling family!> <INFORM but, they wouldn't listen!>"", '<FEEDBACK their disdain for the old ways have opened the door to disaster!> <NOT_CLASSIFIABLE i pray that we have the force to stop this demon!>', '<INFORM the militia will do its best!>']","['meanwhile, in the hidden domain of the panther cult...']","[[7.0, 51.0, 226.0, 129.0], [8.0, 132.0, 154.0, 206.0], [367.0, 3.0, 581.0, 75.0], [618.0, 2.0, 866.0, 104.0], [790.0, 91.0, 868.0, 190.0]]","[[6.0, 6.0, 308.0, 47.0]]","[[262.0, 54.0, 321.0, 109.0], [99.0, 166.0, 247.0, 384.0], [380.0, 81.0, 438.0, 153.0], [541.0, 69.0, 603.0, 131.0], [690.0, 102.0, 787.0, 228.0]]"
bp_0_123_2,"['<INFORM we should have disobeyed the ruling family and des-troyed that thing while it was in our hands! we should have destroyed it--!>', ""<FEEDBACK it's too late for hindsight,jiru!>""]",[],"[[0.0, 3.0, 316.0, 105.0], [317.0, 4.0, 426.0, 100.0]]",[],"[[5.0, 107.0, 177.0, 322.0], [184.0, 154.0, 428.0, 414.0]]"
bp_0_123_4,"['<ORDER stand by me, lady luck!> <INFORM a man needs you most when the road ahead looks clear!>']",[],"[[204.0, 7.0, 392.0, 106.0]]",[],"[[133.0, 85.0, 287.0, 254.0]]"
bp_0_124_3,"['<FEEDBACK no--not its slave--but its brother!> <INFORM he goes to become ""one"" with the great mound!>', ""<ORDER t'challa save us!> <ORDER that mustn't happen!>"", '<INFORM if he reaches it, the ancient warnings will come to pass!>']",[],"[[7.0, 1.0, 180.0, 153.0], [234.0, 2.0, 423.0, 65.0], [310.0, 65.0, 430.0, 185.0]]",[],"[[-1.0, -1.0, -1.0, -1.0], [249.0, 219.0, 298.0, 270.0], [381.0, 207.0, 432.0, 270.0]]"
bp_0_125_1,"['<INFORM when i gave the order to isolate jakarra for study, i knew there were risks involved -->', ""<INFORM -- but to kill him would've violated my oath as a doctor!>"", '<YES-NO_QUESTION did you also consider yout duty as a member of the ruling family?>']",[],"[[4.0, 4.0, 210.0, 119.0], [4.0, 122.0, 260.0, 191.0], [214.0, 6.0, 423.0, 104.0]]",[],"[[136.0, 222.0, 189.0, 267.0], [134.0, 224.0, 189.0, 269.0], [267.0, 109.0, 421.0, 394.0]]"
bp_0_125_3,"[""<INFORM the vibranium change has given jakarra a new advantage! ><INFORM he's invulnerable to our weapons!>"", ""<INFORM and that's not the only change!><ORDER watch his hands!>"", '<INFORM his palms are glowing like white got coals!>']",[],"[[10.0, 5.0, 294.0, 84.0], [134.0, 87.0, 284.0, 192.0], [300.0, 2.0, 427.0, 84.0]]",[],"[[-1.0, -1.0, -1.0, -1.0], [-1.0, -1.0, -1.0, -1.0], [-1.0, -1.0, -1.0, -1.0]]"
bp_0_126_1,"[""<INFORM from an intensive study of microscopic samples of jakarra's tissue, i was able to make a chemical breakdown of the vibranium infection!>""]",[],"[[157.0, 5.0, 429.0, 129.0]]",[],"[[6.0, 7.0, 151.0, 142.0]]"
bp_0_126_3,"[""<INFORM you're also ruling panthers!> <INFORM --and despite this fact, you must move while hope remains!>"", ""<FEEDBACK that's the good news!> <INFORM we've got one slim chance to avert this catastrophe: my anti-sonic toxin!!>""]",[],"[[4.0, 6.0, 205.0, 124.0], [217.0, 3.0, 420.0, 151.0]]",[],"[[15.0, 138.0, 129.0, 293.0], [192.0, 143.0, 388.0, 364.0]]"
bp_0_128_3,"['<ORDER open your granite jaws, great pather! -- ><ORDER and take a wandering cub to the safety of your heart!>']","[""t'challa transmits a radio signal on a frequency given only to wakandan pilots...""]","[[3.0, 96.0, 199.0, 240.0]]","[[2.0, 5.0, 246.0, 81.0]]","[[139.0, 279.0, 151.0, 287.0]]"
bp_0_129_0,"['<ORDER keep moving!><ORDER keep moving!><INFORM the militia must have room to maneuver!>', ""<INFORM they'll never stop jakarra!>"", ""<ORDER hurry, children!><INFORM he's comming this way>"", '<INFORM the black panther should be here!><WHY_QUESTION where is he when his people have need of his mighty arm!??>']","[""but t'challa is unaware of the desperate situation that lies before him...""]","[[4.0, 52.0, 186.0, 142.0], [202.0, 124.0, 343.0, 181.0], [384.0, 45.0, 500.0, 166.0], [610.0, 7.0, 848.0, 93.0]]","[[2.0, 3.0, 459.0, 45.0]]","[[43.0, 148.0, 104.0, 196.0], [226.0, 191.0, 256.0, 219.0], [384.0, 157.0, 442.0, 224.0], [519.0, 169.0, 563.0, 211.0]]"
bp_0_129_1,"['<INFORM never mind those civilians!> <ORDER get the special squad up here on the double!>', ""<FEEDBACK they're ready!> <ORDER stand back-- let them do their job!>""]",[],"[[7.0, 5.0, 225.0, 104.0], [233.0, 3.0, 431.0, 104.0]]",[],"[[-1.0, -1.0, -1.0, -1.0], [312.0, 137.0, 432.0, 307.0]]"
bp_0_12_0,"[""<FEEDBACK very well!> <INFORM you've taken the gun!> <ORDER now use it!> <ORDER use it on him before it's too late!!>"", ""<FEEDBACK no!><INFORM we've got to face this as civilized human beings!>""]",[],"[[12.0, 10.0, 292.0, 124.0], [365.0, 11.0, 565.0, 103.0]]",[],"[[92.0, 173.0, 275.0, 379.0], [329.0, 116.0, 550.0, 353.0]]"
bp_0_12_2,"['<INFORM you must be joking!> <INFORM he looks upon us as we regard pet monkeys!>', ""<INFORM it's a gap we'll have to narrow somehow!> <INFORM we've got to send him back to his own time!>"", '<INFORM and there is only one way to do it!>']",[],"[[10.0, 10.0, 240.0, 131.0], [305.0, 6.0, 568.0, 161.0], [292.0, 152.0, 530.0, 244.0]]",[],"[[-1.0, -1.0, -1.0, -1.0], [3.0, 168.0, 575.0, 578.0], [3.0, 172.0, 575.0, 578.0]]"
bp_0_12_3,"['<INFORM it\'s a man, all right!><INFORM --a man from the ""sixth era""-- wherever that may be in time!>', ""<INFORM he's man as he will be in the far distant future -- all brain!>"", ""<FEEDBACK then, that's the spot to shoot at!>""]",[],"[[20.0, 2.0, 492.0, 82.0], [226.0, 96.0, 412.0, 266.0], [437.0, 62.0, 575.0, 163.0]]",[],"[[80.0, 101.0, 229.0, 319.0], [85.0, 105.0, 230.0, 319.0], [415.0, 202.0, 482.0, 276.0]]"
bp_0_131_0,"[""<INFORM t'challa--! it's t'challa!>"", ""<COMMIT i'll take over now!>"", '<WHY_QUESTION but what are you going to do?>', '<COMMIT we want to help!>']",['suddenly...'],"[[31.0, 36.0, 181.0, 118.0], [491.0, 9.0, 602.0, 44.0], [669.0, 10.0, 797.0, 58.0], [812.0, 11.0, 871.0, 78.0]]","[[5.0, 6.0, 133.0, 34.0]]","[[216.0, 41.0, 268.0, 96.0], [387.0, 23.0, 455.0, 112.0], [652.0, 33.0, 694.0, 86.0], [787.0, 61.0, 830.0, 121.0]]"
bp_0_131_1,"['<FEEDBACK you know what will happen if he reaches the mound!>', '<INFORM i know what will happen if we reach him!>', ""<FEEDBACK well, we can't stay here and do nothing!>""]",[],"[[10.0, 10.0, 128.0, 92.0], [138.0, 10.0, 270.0, 75.0], [295.0, 6.0, 440.0, 79.0]]",[],"[[13.0, 217.0, 103.0, 307.0], [101.0, 134.0, 175.0, 201.0], [302.0, 53.0, 346.0, 88.0]]"
bp_0_131_2,"[""<ORDER you took the injector!> <ORDER return it to me, t'challa!><INFORM only i can use it properly--!>"", ""<FEEDBACK wrong, cousin!> <INFORM n'gassi briefed me on what you were up to!>""]",[],"[[2.0, 3.0, 167.0, 134.0], [173.0, 3.0, 387.0, 87.0]]",[],"[[-1.0, -1.0, -1.0, -1.0], [232.0, 65.0, 291.0, 142.0]]"
bp_0_132_4,"[""<INFORM now he's no longer human! a deadly thing to be dealt with at great risk!>""]",[],"[[2.0, 5.0, 181.0, 126.0]]",[],"[[178.0, 124.0, 248.0, 206.0]]"
bp_0_133_1,['<INFORM a giant shock wave will come next!>'],[],"[[299.0, 96.0, 422.0, 213.0]]",[],"[[-1.0, -1.0, -1.0, -1.0]]"
bp_0_133_4,"[""<INFORM i've got to--ugh!>""]",[],"[[50.0, 16.0, 180.0, 70.0]]",[],"[[62.0, 103.0, 155.0, 200.0]]"
bp_0_136_0,['<INFORM spirits of the ancestors-- one would almost think he wanted to be assaulted!>'],[],"[[0.0, 2.0, 203.0, 37.0]]",[],"[[71.0, 59.0, 135.0, 158.0]]"
bp_0_137_0,"[""<POLITENESS_FORMULA all right, mister--><ORDER  turn around, slow.> <INFORM we don't wanna hurt ya, we only want your money.>"", ""<ORDER c'mon, man-- hand it over!>"", '<FEEDBACK hey, levon-- the dude look like he want to put up a fight!>', ""<FEEDBACK young jackals,> <INFORM i have something to give you-- but it isn't money!>""]",[],"[[3.0, 2.0, 194.0, 81.0], [552.0, 4.0, 677.0, 43.0], [699.0, 7.0, 867.0, 74.0], [166.0, 357.0, 388.0, 430.0]]",[],"[[-1.0, -1.0, -1.0, -1.0], [-1.0, -1.0, -1.0, -1.0], [594.0, 131.0, 646.0, 187.0], [159.0, 111.0, 204.0, 163.0]]"
bp_0_138_2,"['<NOT_CLASSIFIABLE -- yes!> <INFORM klaw, the master of sound..><INFORM  my oldest and most deadly foe!>', ""<INFORM there's not a mark on him--> <INFORM but he seems to be in a coma!>"", ""<INFORM  that's not logical though.><INFORM  klaw can't be harmed by a mere gunshot!\n>""]",[],"[[4.0, 3.0, 155.0, 119.0], [6.0, 108.0, 148.0, 246.0], [233.0, 313.0, 432.0, 423.0]]",[],"[[-1.0, -1.0, -1.0, -1.0], [-1.0, -1.0, -1.0, -1.0], [-1.0, -1.0, -1.0, -1.0]]"
bp_0_141_5,"['<INFORM listen, jackie--you got the electronic know-how to build me the weapon i need!> <YES-NO_QUESTION you gonna build it, dig?>', '<FEEDBACK y-yes.>']",[],"[[4.0, 6.0, 196.0, 107.0], [125.0, 417.0, 191.0, 461.0]]",[],"[[5.0, 119.0, 82.0, 359.0], [96.0, 188.0, 197.0, 403.0]]"
bp_0_143_2,['<INFORM my country is not in the market for advisors -- either cuban or american! we merely wish to know -- the world outside!>'],[],"[[5.0, 6.0, 309.0, 85.0]]",[],"[[6.0, 93.0, 324.0, 433.0]]"
bp_0_143_4,['<WHY_QUESTION what should we tell the secretary?>'],[],"[[47.0, 2.0, 197.0, 62.0]]",[],"[[70.0, 115.0, 200.0, 283.0]]"
bp_0_144_2,"[""<NOT_CLASSIFIABLE well, t'challa...> <INFORM only in business a week, and i see you've already gotten some pretty high-powered visitors.>"", ""<FEEDBACK right.> <INFORM old aubrey pearson's one of cyrus vance's toughest negotiators.>"", '<INFORM oh he went pretty easy on me, cap.>']",[],"[[7.0, 5.0, 157.0, 127.0], [172.0, 5.0, 476.0, 58.0], [478.0, 6.0, 589.0, 53.0]]",[],"[[133.0, 100.0, 215.0, 211.0], [403.0, 84.0, 478.0, 182.0], [483.0, 79.0, 579.0, 174.0]]"
bp_0_144_3,"['<INFORM this way, ladies and gentlemen.>']",[],"[[6.0, 6.0, 119.0, 61.0]]",[],"[[94.0, 90.0, 159.0, 169.0]]"
bp_0_145_0,"['<INFORM fortunately, i can escape the pressures in my own way -- up here...>', ""<INFORM ... as far beyond telephones and meetings as i would be in africa's most remote jungle wilderness>"", ""<INFORM it's a shame that new york's inhabitants can't see their city from this perspective!><INFORM  it's so beautiful -- almost fragile looking!>""]",[],"[[495.0, 5.0, 861.0, 39.0], [701.0, 255.0, 868.0, 358.0], [368.0, 328.0, 709.0, 401.0]]",[],"[[665.0, 84.0, 680.0, 101.0], [667.0, 84.0, 679.0, 102.0], [669.0, 88.0, 682.0, 100.0]]"
bp_0_145_1,"[""<INFORM i can understand cap's misgivings.> <INFORM the danger posed by visionary leaders of great power is one of history's recurring lessons.>"", ""<INFORM for every mohammed or simon bolivar, there's been a hitler or attila.>""]","[""the avengers leave, and shortly, a sleek form takes to the city's rooftops.""]","[[5.0, 361.0, 285.0, 446.0], [336.0, 7.0, 498.0, 106.0]]","[[4.0, 4.0, 265.0, 54.0]]","[[93.0, 158.0, 121.0, 177.0], [314.0, 193.0, 357.0, 224.0]]"
bp_0_145_5,['<ORDER wait!><INFORM  one of those people...>'],[],"[[66.0, 4.0, 158.0, 70.0]]",[],"[[2.0, 119.0, 143.0, 450.0]]"
bp_0_149_0,"['<YES-NO_QUESTION and the shockwave from the bullet put him into this statis, eh?>', ""<INFORM it's a theory.> <INFORM the experts in wakanda will make the final analysis!>"", '<YES-NO_QUESTION in wakanda?> <YES-NO_QUESTION after all these years you want to take him back there?>', ""<NOT_CLASSIFIABLE yes!> <NOT_CLASSIFIABLE it's about time!> <INFORM wakandan scientists will find a way to revive klaw, and he can stand trial...>""]",[],"[[156.0, 1.0, 310.0, 114.0], [5.0, 311.0, 176.0, 423.0], [403.0, 2.0, 601.0, 79.0], [613.0, 4.0, 874.0, 74.0]]",[],"[[291.0, 26.0, 385.0, 143.0], [24.0, 1.0, 165.0, 141.0], [300.0, 26.0, 380.0, 144.0], [538.0, 74.0, 860.0, 390.0]]"
bp_0_14_3,"['<INFORM Here it is, you insufferable little pipsqueak!> <INFORM my men should have aimed at this, insted of your chest!>', '<NOT_CLASSIFIABLE princess zanda!> <INFORM so--you and your scurrilous knaves were waiting in ambush for us!>']",[],"[[5.0, 7.0, 232.0, 175.0], [337.0, 4.0, 557.0, 137.0]]",[],"[[-1.0, -1.0, -1.0, -1.0], [342.0, 192.0, 476.0, 359.0]]"
bp_0_154_0,"[""<INFORM my shield seems to have no effect on it!> <WHY_QUESTION what's this creature made of?!>"", ""<ORDER get away, t'challa--> <ORDER warn the avengers!>"", ""<FEEDBACK you're wrong about your shield, cap--> <INFORM it made the monster release me!>*""]","['if the panther were to reply, the answer would seem unbelievable!', 'as it is, the jungle king is too busy trying to think of a way to defeat a beast made of pure solidified sound!', '* b. p. # 14 -- r.']","[[11.0, 4.0, 198.0, 88.0], [771.0, 7.0, 881.0, 79.0], [767.0, 483.0, 877.0, 625.0]]","[[5.0, 277.0, 168.0, 365.0], [461.0, 4.0, 756.0, 88.0], [753.0, 628.0, 874.0, 650.0]]","[[321.0, 109.0, 383.0, 168.0], [669.0, 104.0, 745.0, 170.0], [649.0, 549.0, 683.0, 589.0]]"
