id,url,label_animals,label_climateaction,label_consequences,label_setting,label_type
113,https://pbs.twimg.com/media/D6kHT2uXsAAUQ1Z.jpg,Polar bear,No climate action,melting ice,"Arctic, Antarctic",Photo
115,image url no longer available,Polar bear,Protests,drought,No setting,Screenshot
118,https://pbs.twimg.com/media/FjrvSItXgAEj_6Z.jpg,Polar bear,Other,biodiversity loss,"Arctic, Antarctic",Illustration
119,https://pbs.twimg.com/media/E10GywNXsAIdGJ8.png,Polar bear,No climate action,melting ice,"Arctic, Antarctic",Photo
120,https://pbs.twimg.com/media/FlFPJGGWIAMtdkL.png,Polar bear,No climate action,biodiversity loss,"Arctic, Antarctic",Illustration
122,https://pbs.twimg.com/media/EvONFZtXUAEAxrp.jpg,Polar bear,No climate action,rising temperature,"Arctic, Antarctic",Illustration
123,https://pbs.twimg.com/media/FIGtHLyXsAEQnPV.jpg,Polar bear,No climate action,biodiversity loss,Other nature,Photo
124,https://pbs.twimg.com/media/EphjPdIWMAE1A2V.jpg,Polar bear,No climate action,melting ice,"Arctic, Antarctic",Photo
129,https://pbs.twimg.com/media/E1bN_cWWEAQ8HgV.jpg,No animals,No climate action,melting ice,Other nature,Photo
133,https://pbs.twimg.com/media/EBT4bNEXsAAd33m.jpg,No animals,No climate action,human rights,Other nature,Photo
135,https://pbs.twimg.com/media/EiYphRXX0AA-91g.jpg,No animals,No climate action,economic consequences,"Arctic, Antarctic",Posters/Event invitations
138,https://pbs.twimg.com/media/FEc8CTrWQAE8O8A.jpg,No animals,No climate action,sea level rise,Indoor space,Posters/Event invitations
153,https://pbs.twimg.com/media/FZ8p1c2X0AAmY79.jpg,Amphibian or Reptile,No climate action,rising temperature,Other setting,Infographic
154,https://pbs.twimg.com/media/FArUdW4XoAI49UZ.jpg,Amphibian or Reptile,No climate action,drought,Desert,Photo
158,https://pbs.twimg.com/media/FCeItoeXMAg837t.jpg,Amphibian or Reptile,No climate action,sea level rise,"Ocean, coastal",Illustration
162,https://pbs.twimg.com/media/EFKMvJaXkAUNzNO.jpg,No animals,Protests,covid & general health,Residential/commercial,Photo
164,https://pbs.twimg.com/media/FeStsrTWYAA4L8q.jpg,No animals,Other,other consequences,Other setting,Other
174,https://pbs.twimg.com/media/EfRGmVUVoAA1hcS.jpg,No animals,No climate action,wildfires,"Forest, jungle",Photo
175,image url no longer available,No animals,Protests,drought,No setting,Screenshot
180,https://pbs.twimg.com/media/EfRH5TAU8AEoGTb.jpg,No animals,No climate action,wildfires,"Forest, jungle",Photo
181,https://pbs.twimg.com/media/Fgdp0_BWAAEwZ3q.jpg,No animals,No climate action,economic consequences,Residential/commercial,Screenshot
183,https://pbs.twimg.com/media/EH97_3SX0AAMpnd.jpg,No animals,Other,other extreme weather events,Other setting,Photo
195,https://pbs.twimg.com/media/EcQzZh7U4AA2D6h.jpg,No animals,No climate action,drought,Desert,Photo
199,https://pbs.twimg.com/media/ECUVeeOWwAcWwzN.jpg,No animals,Other,melting ice,Other nature,Collage
201,https://pbs.twimg.com/media/EUy3yf3XsAE5NLA.jpg,Amphibian or Reptile,No climate action,other consequences,Other nature,Screenshot
206,https://pbs.twimg.com/media/EfRGkHuU0AAIDDr.jpg,No animals,No climate action,wildfires,"Forest, jungle",Photo
209,https://pbs.twimg.com/media/FYJ1YSVaIAArbZU.jpg,Polar bear,No climate action,biodiversity loss,"Arctic, Antarctic",Data Visualization
212,https://pbs.twimg.com/media/Fa3ae6PXEAEDNYP.jpg,No animals,No climate action,covid & general health,No setting,Data Visualization
215,https://pbs.twimg.com/media/FaaZkt4WIAI_t5z.jpg,No animals,No climate action,rising temperature,No setting,Screenshot
218,https://pbs.twimg.com/media/EjM3127UYAAHgje.jpg,No animals,Other,rising temperature,Residential/commercial,Photo
221,https://pbs.twimg.com/media/EMhv5qAWwAAJroN?format=jpg&name=small,No animals,No climate action,sea level rise,Residential/commercial,Photo
225,https://pbs.twimg.com/media/FR_U2vYXsAEsHDl.jpg,No animals,Other,sea level rise,Other setting,Photo
229,https://pbs.twimg.com/media/FCsqQV1XIAAILzS.png,No animals,No climate action,sea level rise,No setting,Data Visualization
231,https://pbs.twimg.com/media/FNV3pH4X0AkmESx.jpg,No animals,No climate action,wildfires,Other nature,Infographic
236,https://pbs.twimg.com/media/E_kPldUWQAINxU4.jpg,No animals,No climate action,drought,Desert,Photo
238,https://pbs.twimg.com/media/FRksVbEXMAEYlMg.jpg,Land mammal,No climate action,drought,Desert,Photo
239,https://pbs.twimg.com/media/EhjkCa6WoAE-VDe.jpg,No animals,No climate action,wildfires,Residential/commercial,Photo
253,https://pbs.twimg.com/media/EEFUos2U8AA9bqL.jpg,No animals,No climate action,floods,"Ocean, coastal",Photo
256,https://pbs.twimg.com/media/E2ZN2fUXIAMGGuy.jpg,No animals,No climate action,sea level rise,"Ocean, coastal",Collage
257,https://pbs.twimg.com/media/Fi_DFPpXkAYWVUT.jpg,No animals,No climate action,drought,Industrial,Photo
258,https://pbs.twimg.com/media/FXy42ibUIAsZwU5.jpg,No animals,No climate action,floods,Other setting,Meme
260,https://pbs.twimg.com/media/FP4ibjqaQAELL4v.jpg,Other animals,Other,biodiversity loss,Other nature,Posters/Event invitations
263,https://pbs.twimg.com/media/Fk7YzdqXEAAhBtH.jpg,No animals,Other,rising temperature,Residential/commercial,Photo
264,https://pbs.twimg.com/media/D8OT0mGV4AAcIUb?format=jpg&name=small,No animals,No climate action,sea level rise,Residential/commercial,Photo
267,https://pbs.twimg.com/media/FIbCZ2cVkAYl4jO.jpg,No animals,No climate action,other consequences,No setting,Data Visualization
268,https://pbs.twimg.com/media/ExSGSdWWUAAaCkQ.jpg,No animals,No climate action,covid & general health,Industrial,Photo
269,https://pbs.twimg.com/media/FBPAc5PVkAUW5Xx.jpg,No animals,Other,human rights,Other nature,Posters/Event invitations
277,https://pbs.twimg.com/media/ESt-ha_UcAA8NKC.jpg,No animals,No climate action,human rights,"Ocean, coastal",Photo
280,https://pbs.twimg.com/media/FGr1LloXEAQQ7nv.jpg,No animals,Other,covid & general health,No setting,Screenshot
282,image url no longer available,No animals,Protests,drought,No setting,Screenshot
283,https://pbs.twimg.com/media/EE28LCKWkAA_K1t.jpg,No animals,No climate action,sea level rise,"Ocean, coastal",Photo
285,https://pbs.twimg.com/media/Eh6sAMtU4AAYy4U.jpg,No animals,No climate action,other extreme weather events,No setting,Screenshot
288,https://pbs.twimg.com/media/E06fGpxVgAUMCKN.jpg,No animals,No climate action,drought,Desert,Photo
289,https://pbs.twimg.com/media/FUngTUaUYAAs3nf.jpg,No animals,No climate action,economic consequences,Other setting,Data Visualization
291,image url no longer available,No animals,Protests,drought,No setting,Screenshot
294,https://pbs.twimg.com/media/EymEpI5XIAI15mq.jpg,No animals,No climate action,economic consequences,Indoor space,Screenshot
297,https://pbs.twimg.com/media/Fgy6dkxWIAAsYi3.jpg,No animals,Other,human rights,Other setting,Illustration
301,https://pbs.twimg.com/media/FQTlPbbXIAQonSR.jpg,No animals,No climate action,human rights,"Forest, jungle",Posters/Event invitations
303,https://pbs.twimg.com/media/FOXF2btXIAIVDKP.jpg,Amphibian or Reptile,No climate action,biodiversity loss,Other nature,Posters/Event invitations
309,https://pbs.twimg.com/media/FeTGuBpWIAYfZJf.jpg,No animals,Politics,other extreme weather events,Residential/commercial,Screenshot
312,https://pbs.twimg.com/media/Fhs0Q7EUAAASz0M.jpg,No animals,No climate action,melting ice,Other setting,Data Visualization
313,https://pbs.twimg.com/media/FfPpFgEVQAAfQia.jpg,No animals,Politics,human rights,Desert,Posters/Event invitations
316,https://pbs.twimg.com/media/FUqH1e4XEAEHNmO.jpg,No animals,Protests,human rights,Residential/commercial,Posters/Event invitations
317,https://pbs.twimg.com/media/FAIz-X_XIAAHI77?format=jpg&name=medium,No animals,Other,other consequences,No setting,Screenshot
319,https://pbs.twimg.com/media/E-eLU5BXoAAlatK.jpg,Amphibian or Reptile,No climate action,biodiversity loss,Other nature,Photo
320,image url no longer available,No animals,Protests,drought,No setting,Screenshot
323,https://pbs.twimg.com/media/FR6B9t1acAIZxpj.jpg,No animals,No climate action,other consequences,"Ocean, coastal",Photo
326,https://pbs.twimg.com/media/EEKzFxuUEAAughv.jpg,No animals,No climate action,drought,Other nature,Collage
327,https://pbs.twimg.com/media/D25gvlIW0AEhVFj?format=jpg&name=small,No animals,No climate action,covid & general health,No setting,Data Visualization
330,https://pbs.twimg.com/media/FT1C7AWX0AATOaG.jpg,Sea mammal,No climate action,biodiversity loss,"Ocean, coastal",Photo
333,https://pbs.twimg.com/media/E5Ib4a1XEAgRkCh.jpg,No animals,No climate action,rising temperature,No setting,Data Visualization
337,https://pbs.twimg.com/media/FOyRT4nWYAY68HX.jpg,No animals,No climate action,drought,Desert,Photo
342,https://pbs.twimg.com/media/EAt3bYkWwAAGtdW.jpg,No animals,Other,rising temperature,Indoor space,Photo
344,https://pbs.twimg.com/media/FP2g2UEWQAg7nBR.jpg,No animals,No climate action,other consequences,Other nature,Photo
345,https://pbs.twimg.com/media/E5VaYkCVIAAysI8.jpg,No animals,Other,rising temperature,Residential/commercial,Collage
348,https://pbs.twimg.com/media/EqZtj-3W8AEt-wd.jpg,Polar bear,No climate action,other consequences,Residential/commercial,Photo
350,https://pbs.twimg.com/media/Fyk0kIJaYAAAf6l.jpg,Farm animals,No climate action,other consequences,"Forest, jungle",Photo
353,https://pbs.twimg.com/media/D8K7PjxWsAE6GhY.jpg,No animals,No climate action,drought,Other setting,Photo
357,https://pbs.twimg.com/media/D1rAnX1XQAI1ihs.jpg,No animals,No climate action,sea level rise,Other setting,Screenshot
358,https://pbs.twimg.com/media/EMEgep0XUAE3tHn?format=jpg&name=small,No animals,No climate action,sea level rise,No setting,Data Visualization
360,https://pbs.twimg.com/media/FIHyvyeVkAE9t_E.jpg,No animals,No climate action,drought,Other nature,Photo
366,https://pbs.twimg.com/media/ECvfjt-WwAA1v7R.jpg,No animals,Other,drought,Other nature,Collage
369,https://pbs.twimg.com/media/Dw89_aJX0AAA_0Y.jpg,No animals,Other,covid & general health,Indoor space,Collage
375,https://pbs.twimg.com/media/EFVNoRvXYAEI7HP.jpg,No animals,No climate action,melting ice,"Arctic, Antarctic",Photo
376,https://pbs.twimg.com/media/FGTdtSlWYAUXzT0.jpg,No animals,Other,other extreme weather events,No setting,Screenshot
378,https://pbs.twimg.com/media/FXEGcQgX0AIFtdv.jpg,No animals,Politics,human rights,Indoor space,Other
381,https://pbs.twimg.com/media/FON0qPmX0Aso07C.jpg,No animals,No climate action,rising temperature,Other setting,Data Visualization
387,https://pbs.twimg.com/media/FMo8ciRVUAQqqn8.jpg,No animals,Other,floods,Residential/commercial,Photo
391,https://pbs.twimg.com/media/EG8nEM9X4AEQWGD.jpg,No animals,Other,human rights,Other nature,Photo
392,https://pbs.twimg.com/media/FLsw9fjXEAMWGRM.jpg,No animals,No climate action,human rights,Other setting,Posters/Event invitations
396,https://pbs.twimg.com/media/EHACGWzX4AAccJC.jpg,No animals,Other,other consequences,Other nature,Photo
400,https://pbs.twimg.com/media/E5zazAEX0AMN4Nv.jpg,No animals,Other,floods,Residential/commercial,Photo
405,https://pbs.twimg.com/media/FAAB6sFVUA8_3E7.jpg,No animals,No climate action,covid & general health,Residential/commercial,Photo
406,https://pbs.twimg.com/media/EYqFbZHXQAEAjNL.jpg,No animals,No climate action,rising temperature,No setting,Data Visualization
408,https://pbs.twimg.com/media/EhjkCZGXcAERhNk.jpg,No animals,No climate action,wildfires,Residential/commercial,Photo
412,https://pbs.twimg.com/media/Dwyc00SWwAAwZdJ.jpg,No animals,No climate action,floods,"Ocean, coastal",Photo
413,https://pbs.twimg.com/media/E1ZrY8cVEAE5Oy9.jpg,No animals,No climate action,other consequences,"Ocean, coastal",Photo
420,https://pbs.twimg.com/media/EhjkCXuWAAYF5tO.jpg,No animals,Other,wildfires,"Forest, jungle",Photo
423,https://pbs.twimg.com/media/Ey3J0ptUYAQtAFU.jpg,No animals,No climate action,floods,Residential/commercial,Photo
429,https://pbs.twimg.com/media/FD52IglXMAY9jIy.jpg,No animals,No climate action,rising temperature,Desert,Infographic
430,https://pbs.twimg.com/media/EhkM_b3XcAEEzJn.jpg,No animals,No climate action,wildfires,"Forest, jungle",Photo
434,image url no longer available,No animals,Protests,drought,No setting,Screenshot
435,https://pbs.twimg.com/media/Evz0yejWgAQE63J.jpg,No animals,No climate action,drought,Desert,Photo
436,https://pbs.twimg.com/media/EvdsD-nXUAM4plD.png,No animals,No climate action,economic consequences,Other setting,Illustration
441,https://pbs.twimg.com/media/E40rBSyXMAQM970.jpg,No animals,No climate action,floods,Residential/commercial,Photo
442,https://pbs.twimg.com/media/Em2sKxYXMAgBfR8.jpg,No animals,Other,other consequences,Indoor space,Photo
444,https://pbs.twimg.com/media/D-YyPYjX4AECTX1.jpg,No animals,Other,other extreme weather events,Residential/commercial,Photo
447,https://pbs.twimg.com/media/DzFxmYxWsAAXESm.jpg,No animals,No climate action,other consequences,"Ocean, coastal",Meme
453,https://pbs.twimg.com/media/Ey3J0b_VcAEPed0.jpg,No animals,No climate action,floods,Residential/commercial,Photo
455,image url no longer available,No animals,Protests,drought,No setting,Screenshot
459,https://pbs.twimg.com/media/FQHzo1PXsAADcsF.jpg,No animals,No climate action,economic consequences,Other setting,Infographic
462,https://pbs.twimg.com/media/E1NhpdlWUAQAu3Z.jpg,No animals,No climate action,covid & general health,Other setting,Infographic
464,https://pbs.twimg.com/media/DzfgYpoXQAEUCYk.jpg,No animals,No climate action,floods,No setting,Data Visualization
467,https://pbs.twimg.com/media/FD8XTnrVUAMGw3i.jpg,No animals,No climate action,floods,Residential/commercial,Photo
468,https://pbs.twimg.com/media/EHgi4J8U0AAAlgE.png,No animals,No climate action,melting ice,No setting,Screenshot
473,image url no longer available,No animals,Protests,drought,No setting,Screenshot
477,https://pbs.twimg.com/media/EIz7gt5UcAApeyA.png,No animals,No climate action,economic consequences,Other setting,Posters/Event invitations
478,https://pbs.twimg.com/media/FSeWG-AXEAA79WX.jpg,No animals,No climate action,sea level rise,"Ocean, coastal",Other
479,https://pbs.twimg.com/media/E1bOAOmWYAAl4R-.jpg,No animals,No climate action,melting ice,Other nature,Photo
482,https://pbs.twimg.com/media/E8XkPuxXoAMgQWP.png,No animals,No climate action,rising temperature,No setting,Screenshot
489,https://pbs.twimg.com/media/FZ4UmGhWQAA6wdO.png,No animals,Other,melting ice,"Arctic, Antarctic",Posters/Event invitations
492,https://pbs.twimg.com/media/Fa69cdaXoAA_vA2.jpg,No animals,Other,human rights,Other setting,Posters/Event invitations
496,https://pbs.twimg.com/media/EFs94UXWoAAXSbT.jpg,Polar bear,No climate action,biodiversity loss,Other nature,Photo
499,https://pbs.twimg.com/media/FfXNpRBXoAQ8Eph.jpg,No animals,No climate action,economic consequences,Indoor space,Photo
501,https://pbs.twimg.com/media/FTSoogPVEAEqwwW.jpg,No animals,No climate action,drought,Other nature,Photo
506,https://pbs.twimg.com/tweet_video_thumb/FJaZ2ivX0AEItlQ.jpg,No animals,No climate action,rising temperature,No setting,Data Visualization
510,https://pbs.twimg.com/media/FiRuRRkWYAcWorg.jpg,No animals,No climate action,human rights,Other setting,Infographic
511,https://pbs.twimg.com/media/FDqsYrhX0AI0L0d.jpg,No animals,No climate action,other extreme weather events,"Arctic, Antarctic",Screenshot
512,https://pbs.twimg.com/media/ES5bHuLXQAIXFui.jpg,No animals,No climate action,human rights,Other nature,Photo
515,https://pbs.twimg.com/media/D-YyMbbWkAIWGi_.jpg,No animals,No climate action,other extreme weather events,Residential/commercial,Photo
516,https://pbs.twimg.com/media/FRksVa1XIAIwanw.jpg,No animals,Other,drought,Desert,Photo
520,https://pbs.twimg.com/media/EHACGWxXYAAsBoN.jpg,No animals,Other,other consequences,Other nature,Photo
525,https://pbs.twimg.com/media/FdWRDqlXgAMnnzV.jpg,No animals,No climate action,sea level rise,"Ocean, coastal",Screenshot
528,https://pbs.twimg.com/media/EcccmLMWkAUWuYF.jpg,No animals,No climate action,human rights,"Arctic, Antarctic",Screenshot
529,https://pbs.twimg.com/media/EhhUS_PUcAAn2Uy.jpg,No animals,Other,wildfires,Residential/commercial,Photo
530,image url no longer available,No animals,Protests,drought,No setting,Screenshot
532,https://pbs.twimg.com/media/EbUYQ7tUwAEpOPk.jpg,No animals,No climate action,covid & general health,No setting,Data Visualization
536,https://pbs.twimg.com/media/FfQ-365XEAEA_z1.jpg,No animals,Other,covid & general health,Indoor space,Photo
538,https://pbs.twimg.com/media/FZffoBlWIAQRt0E.jpg,No animals,No climate action,floods,Industrial,Photo
544,https://pbs.twimg.com/media/Evn5E29WYAAhgu6.jpg,No animals,No climate action,rising temperature,Outer space,Data Visualization
545,https://pbs.twimg.com/media/FX4t0cBWYAI4CrT.png,No animals,No climate action,rising temperature,No setting,Infographic
547,https://pbs.twimg.com/media/EMRqGHkU0AEjTFD.jpg,No animals,Other,wildfires,"Forest, jungle",Photo
549,https://pbs.twimg.com/media/Fi7aEYYWQAAgK7L.jpg,No animals,No climate action,floods,No setting,Data Visualization
553,https://pbs.twimg.com/media/FhHh_6uagAIGc-b.jpg,No animals,No climate action,human rights,Desert,Photo
558,https://pbs.twimg.com/media/EhkM_b1XYAIBkvm.jpg,No animals,No climate action,wildfires,Other setting,Other
563,https://pbs.twimg.com/media/EYfnwiXWsAACWy8.jpg,No animals,No climate action,other extreme weather events,Residential/commercial,Photo
564,https://pbs.twimg.com/media/EgEqHvUU4AAJGLU.jpg,No animals,No climate action,wildfires,"Forest, jungle",Photo
572,https://pbs.twimg.com/media/EfC26W_XoAEYGhF.jpg,Fish,No climate action,other consequences,"Ocean, coastal",Infographic
573,https://pbs.twimg.com/media/FbnocxraQAE_gDQ.jpg,No animals,Politics,human rights,Other setting,Screenshot
574,https://pbs.twimg.com/media/FfVV5HWXwAAfTuy.jpg,No animals,No climate action,floods,Residential/commercial,Photo
575,https://pbs.twimg.com/media/Fd6NOxtX0AA4Pm-.jpg,No animals,No climate action,floods,Residential/commercial,Photo
576,https://pbs.twimg.com/media/Fbk9MPXaUAA8doC.jpg,No animals,Politics,human rights,Other setting,Screenshot
580,https://pbs.twimg.com/media/E40rBSrWUAA4pa4.jpg,No animals,No climate action,floods,Residential/commercial,Photo
585,https://pbs.twimg.com/media/Eh6sAMsUYAISGwi.jpg,No animals,No climate action,wildfires,"Forest, jungle",Screenshot
586,https://pbs.twimg.com/media/E74pkYEWEAMSdnv.jpg,No animals,No climate action,other consequences,Desert,Photo
589,https://pbs.twimg.com/media/EuZcHqFXAAMbG-z.jpg,No animals,No climate action,other extreme weather events,Indoor space,Collage
591,https://pbs.twimg.com/media/FJKfuNMXIAIhyJJ.jpg,No animals,Other,melting ice,"Arctic, Antarctic",Collage
597,https://pbs.twimg.com/media/EIBENQ8VUAAt68w.jpg,No animals,No climate action,other consequences,No setting,Data Visualization
601,https://pbs.twimg.com/media/E1ZrZLtVcAI9Sdm.jpg,No animals,No climate action,other consequences,"Arctic, Antarctic",Photo
610,https://pbs.twimg.com/media/FRWatAbXoAQh-_O.jpg,No animals,No climate action,other consequences,Other setting,Infographic
616,https://pbs.twimg.com/media/FPXBFpcXwAgYEs7.jpg,No animals,Politics,human rights,Other setting,Screenshot
622,https://pbs.twimg.com/media/FC7GBGiVgAMnxaU.jpg,No animals,Other,melting ice,"Arctic, Antarctic",Posters/Event invitations
623,https://pbs.twimg.com/media/D_9lhnNUwAU74Zx.jpg,No animals,No climate action,rising temperature,No setting,Data Visualization
624,https://pbs.twimg.com/media/Fe4TZcIWYAEogLv.png,No animals,Other,human rights,Other setting,Screenshot
627,https://pbs.twimg.com/media/FRQW2CjX0AMje7T.jpg,No animals,No climate action,drought,Desert,Photo
628,https://pbs.twimg.com/media/DxLsYlxUUAECPnh?format=jpg&name=small,No animals,No climate action,covid & general health,No setting,Photo
631,https://pbs.twimg.com/media/EI_uhMrW4AAg3-O.jpg,No animals,Other,sea level rise,Residential/commercial,Photo
632,https://pbs.twimg.com/media/FeTGuA8WAAEcN7b.jpg,No animals,No climate action,other extreme weather events,No setting,Screenshot
636,https://pbs.twimg.com/media/E4rBPR2WUAAyIDY.jpg,No animals,Politics,covid & general health,No setting,Screenshot
639,https://pbs.twimg.com/media/Dw-qG_xUcAEk5KD.jpg,No animals,No climate action,floods,"Ocean, coastal",Photo
643,https://pbs.twimg.com/media/FOJNP5WXEAUmep-.jpg,No animals,No climate action,economic consequences,Other setting,Data Visualization
644,https://pbs.twimg.com/media/D-YyOGhXsAAhuGb.jpg,No animals,Other,other extreme weather events,Residential/commercial,Photo
655,https://pbs.twimg.com/media/E1bOzYQWYAA-YiH.jpg,No animals,No climate action,melting ice,Other nature,Photo
657,https://pbs.twimg.com/media/FZ5_kGTUEAALowr.jpg,No animals,No climate action,melting ice,Other setting,Data Visualization
662,https://pbs.twimg.com/media/EWOFf_FU0AEKM2N.jpg,Polar bear,No climate action,biodiversity loss,"Arctic, Antarctic",Photo
664,https://pbs.twimg.com/media/Fb3XhYjXgAYYRDL.jpg,No animals,No climate action,floods,Residential/commercial,Photo
666,https://pbs.twimg.com/media/FlIaxATXwAcLclm.jpg,No animals,No climate action,other consequences,Other setting,Infographic
667,https://pbs.twimg.com/card_img/1687014078818996225/Df-LbYm3?format=jpg&name=orig,No animals,No climate action,economic consequences,Indoor space,Photo
677,https://pbs.twimg.com/media/FQ9WOWeXwAAn6W8.png,Birds,Other,human rights,Other setting,Posters/Event invitations
680,https://pbs.twimg.com/media/Ff71tu2XEAk3opl.jpg,No animals,No climate action,other consequences,No setting,Infographic
681,image url no longer available,No animals,Protests,drought,No setting,Screenshot
685,https://pbs.twimg.com/media/FXgyKb-XwAAw53o.jpg,No animals,No climate action,sea level rise,"Ocean, coastal",Screenshot
690,https://pbs.twimg.com/media/ErgS88qVcAEaOhx.jpg,No animals,No climate action,human rights,"Ocean, coastal",Photo
694,https://pbs.twimg.com/media/Ex-ifbhXMAM6wXO.jpg,No animals,No climate action,economic consequences,No setting,Data Visualization
695,https://pbs.twimg.com/media/FdjQSD7aUAAPWlH.jpg,No animals,Politics,other extreme weather events,Indoor space,Collage
696,https://pbs.twimg.com/media/FY4PerQUIAAT2F8.jpg,No animals,No climate action,rising temperature,No setting,Data Visualization
697,https://pbs.twimg.com/media/FZnjihBWQAA6hVz.jpg,No animals,No climate action,other extreme weather events,Residential/commercial,Photo
709,https://pbs.twimg.com/media/EhkM_b1WoAAY0cb.jpg,No animals,No climate action,wildfires,Agricultural/rural,Photo
710,https://pbs.twimg.com/media/EI6_CnUUcAAitfu.png,No animals,No climate action,wildfires,No setting,Infographic
718,https://pbs.twimg.com/media/EoPGeEVW8AA26mJ.jpg,No animals,No climate action,wildfires,"Forest, jungle",Meme
719,https://pbs.twimg.com/media/FVUp2BTWYAILOP3.png,No animals,Other,rising temperature,Indoor space,Screenshot
720,https://pbs.twimg.com/media/EcgblDDXsAAmNZ5.jpg,No animals,Other,floods,"Ocean, coastal",Illustration
723,https://pbs.twimg.com/media/E5FiUReVcAAw3c7.jpg,No animals,No climate action,wildfires,No setting,Screenshot
727,https://pbs.twimg.com/media/D7zE7sgWwAE023t.jpg,No animals,No climate action,sea level rise,"Ocean, coastal",Photo
729,https://pbs.twimg.com/media/EHACGWvWsAEki-h.jpg,No animals,Other,other consequences,Other nature,Photo
734,https://pbs.twimg.com/media/E8e1UPDWYAoIO-7.jpg,No animals,Fossil energy,rising temperature,No setting,Screenshot
