image_id,model,conclusion_novelty,conclusion_relevance_score,conclusion_validity,format_adherence,human_alignment_1,human_alignment_2,premise_coverage_0,premise_coverage_1,premise_impact,premise_relevance_score,quantity_compliance,visual_grounding,comment,premise_coverage_2,premise_coverage_3
10,nemotron,Moderate,All relevant,Mostly follows,Complete failure,Conclusion only,Conclusion only,1,,Most premises linked,Mostly relevant,All counts correct,Minor external,,,
11,llava,Moderate,All relevant,Clearly follows,Perfect,Strong match,Strong match,4,4.0,All premises linked,All relevant,All counts correct,Strictly visual,,,
11,minicpm,Moderate,Mostly relevant,Mostly follows,Perfect,Strong match,Strong match,2,2.0,Most premises linked,All relevant,All counts correct,Some external,,,
11,nemotron,Moderate,All relevant,Clearly follows,Perfect,Strong match,Strong match,3,3.0,All premises linked,All relevant,All counts correct,Strictly visual,,,
12,llava,Insightful,All relevant,Clearly follows,Perfect,Strong match,Strong match,2,2.0,All premises linked,All relevant,All counts correct,Strictly visual,,,
12,minicpm,Moderate,Mostly relevant,Mostly follows,Perfect,Strong match,Strong match,2,0.0,Most premises linked,All relevant,All counts correct,Strictly visual,,,
12,nemotron,Paraphrase,Mostly relevant,Mostly follows,Complete failure,Conclusion only,Conclusion only,1,,Most premises linked,Mostly relevant,All counts correct,Strictly visual,,,
13,llava,Insightful,All relevant,Clearly follows,Perfect,Strong match,Strong match,4,4.0,All premises linked,All relevant,All counts correct,Strictly visual,,,
13,minicpm,Insightful,All relevant,Clearly follows,Perfect,Strong match,Strong match,2,2.0,All premises linked,All relevant,All counts correct,Strictly visual,,,
13,nemotron,Insightful,All relevant,Clearly follows,Perfect,Strong match,Strong match,4,4.0,All premises linked,All relevant,All counts correct,Strictly visual,,,
14,llava,Insightful,All relevant,Clearly follows,Perfect,Strong match,Strong match,1,1.0,All premises linked,Mostly relevant,All counts correct,Strictly visual,,,
14,minicpm,Moderate,All relevant,Clearly follows,Perfect,Strong match,Strong match,2,2.0,All premises linked,All relevant,2 or less than 2 counts off,Minor external,,2.0,2.0
14,nemotron,Moderate,All relevant,Mostly follows,Complete failure,Strong match,Strong match,1,,Most premises linked,Mostly relevant,All counts correct,Strictly visual,,,
21,llava,Insightful,All relevant,Clearly follows,Perfect,Strong match,Strong match,4,4.0,All premises linked,All relevant,All counts correct,Minor external,,,
21,minicpm,Moderate,Mostly relevant,Mostly follows,Perfect,Strong match,Strong match,2,2.0,Most premises linked,All relevant,All counts correct,Strictly visual,,,
21,nemotron,Moderate,Mostly relevant,Mostly follows,Complete failure,Conclusion only,Conclusion only,1,,Most premises linked,All relevant,All counts correct,Strictly visual,,,
24,llava,Insightful,All relevant,Clearly follows,Perfect,Strong match,Strong match,2,2.0,All premises linked,Mostly relevant,All counts correct,Minor external,,,
24,minicpm,Moderate,All relevant,Clearly follows,Perfect,Strong match,Strong match,2,2.0,All premises linked,All relevant,All counts correct,Strictly visual,,,
24,nemotron,Moderate,All relevant,Clearly follows,Perfect,Strong match,Strong match,2,2.0,All premises linked,Mostly relevant,All counts correct,Strictly visual,,,
25,llava,Moderate,Mostly relevant,Mostly follows,Perfect,Conclusion only,Conclusion only,3,3.0,Most premises linked,Mostly relevant,All counts correct,Some external,,,
25,minicpm,Insightful,All relevant,Clearly follows,Perfect,Strong match,Strong match,2,2.0,All premises linked,All relevant,All counts correct,Minor external,,,
25,nemotron,Moderate,All relevant,Clearly follows,Perfect,Strong match,Strong match,4,1.0,All premises linked,All relevant,All counts correct,Minor external,,,
28,llava,Insightful,All relevant,Clearly follows,Perfect,Strong match,Strong match,2,2.0,All premises linked,All relevant,All counts correct,Strictly visual,,,
28,minicpm,Moderate,All relevant,Clearly follows,Perfect,Strong match,Strong match,2,2.0,All premises linked,All relevant,All counts correct,Minor external,,,
28,nemotron,Insightful,All relevant,Clearly follows,Perfect,Strong match,Strong match,3,3.0,All premises linked,All relevant,All counts correct,Minor external,,,
29,llava,Insightful,All relevant,Clearly follows,Perfect,Strong match,Strong match,2,2.0,All premises linked,Mostly relevant,All counts correct,Minor external,,,
29,minicpm,Insightful,Mostly relevant,Clearly follows,Perfect,Strong match,Strong match,2,2.0,All premises linked,Mostly relevant,All counts correct,Minor external,,,
29,nemotron,Insightful,All relevant,Clearly follows,Complete failure,Strong match,Strong match,1,,All premises linked,All relevant,All counts correct,Strictly visual,,,
30,llava,Moderate,All relevant,Clearly follows,Perfect,Unrelated,Different focus,2,2.0,All premises linked,All relevant,All counts correct,Strictly visual,,2.0,
30,minicpm,Insightful,All relevant,Clearly follows,Perfect,Unrelated,Strong match,2,2.0,All premises linked,All relevant,All counts correct,Strictly visual,,,
30,nemotron,Moderate,Mostly relevant,Clearly follows,Perfect,Different focus,Conclusion only,2,1.0,Most premises linked,Mostly relevant,All counts correct,Minor external,,,
31,llava,Moderate,All relevant,Clearly follows,Perfect,Strong match,Strong match,3,3.0,All premises linked,Mostly relevant,2 or less than 2 counts off,Minor external,,3.0,
31,minicpm,Moderate,All relevant,Clearly follows,Perfect,Strong match,Strong match,2,2.0,All premises linked,All relevant,All counts correct,Strictly visual,,,
31,nemotron,Moderate,All relevant,Clearly follows,Perfect,Strong match,Strong match,3,3.0,All premises linked,All relevant,All counts correct,Strictly visual,,,
32,llava,Moderate,Mostly relevant,Mostly follows,Perfect,Different focus,Different focus,2,1.0,Most premises linked,All relevant,All counts correct,Strictly visual,,,
32,minicpm,Insightful,All relevant,Clearly follows,Perfect,Strong match,Strong match,2,2.0,All premises linked,All relevant,2 or less than 2 counts off,Minor external,,2.0,
32,nemotron,Moderate,All relevant,Clearly follows,Perfect,Strong match,Strong match,4,4.0,All premises linked,All relevant,All counts correct,Strictly visual,,,
34,llava,Moderate,All relevant,Clearly follows,Perfect,Strong match,Strong match,3,3.0,All premises linked,Mostly relevant,All counts correct,Strictly visual,,,
34,minicpm,Insightful,All relevant,Clearly follows,Perfect,Strong match,Strong match,2,2.0,All premises linked,All relevant,All counts correct,Minor external,,,
34,nemotron,Moderate,All relevant,Clearly follows,Complete failure,Strong match,Strong match,1,,All premises linked,All relevant,All counts correct,Strictly visual,,,
36,llava,Moderate,All relevant,Clearly follows,Perfect,Strong match,Strong match,3,3.0,All premises linked,All relevant,All counts correct,Strictly visual,,,
36,minicpm,Paraphrase,Partially relevant,Mostly follows,Perfect,Different focus,Different focus,1,1.0,All premises linked,Partially relevant,All counts correct,Minor external,,,
36,nemotron,Moderate,All relevant,Clearly follows,Perfect,Strong match,Strong match,1,3.0,All premises linked,All relevant,All counts correct,Strictly visual,,,
43,llava,Moderate,Mostly relevant,Mostly follows,Perfect,Conclusion only,Conclusion only,1,2.0,Most premises linked,Mostly relevant,All counts correct,Strictly visual,,,
43,minicpm,Moderate,All relevant,Clearly follows,Perfect,Strong match,Strong match,1,1.0,All premises linked,All relevant,All counts correct,Strictly visual,,,
43,nemotron,Insightful,All relevant,Clearly follows,Perfect,Strong match,Strong match,3,3.0,All premises linked,All relevant,All counts correct,Strictly visual,,,
45,llava,Insightful,All relevant,Clearly follows,Perfect,Different focus,Different focus,2,1.0,All premises linked,Mostly relevant,All counts correct,Strictly visual,,,
45,minicpm,Insightful,All relevant,Clearly follows,Perfect,Strong match,Strong match,3,3.0,All premises linked,All relevant,All counts correct,Strictly visual,,,
45,nemotron,Moderate,All relevant,Clearly follows,Complete failure,Strong match,Strong match,1,,All premises linked,All relevant,All counts correct,Strictly visual,,,
48,llava,Moderate,Mostly relevant,Mostly follows,Perfect,Strong match,Strong match,4,4.0,Most premises linked,All relevant,All counts correct,Minor external,,,
48,minicpm,Insightful,All relevant,Clearly follows,Perfect,Strong match,Strong match,3,3.0,All premises linked,All relevant,All counts correct,Minor external,,,
48,nemotron,Insightful,All relevant,Clearly follows,Complete failure,Strong match,Strong match,1,,All premises linked,All relevant,All counts correct,Strictly visual,,,
49,llava,Insightful,All relevant,Clearly follows,Perfect,Strong match,Strong match,3,2.0,All premises linked,Mostly relevant,2 or less than 2 counts off,Strictly visual,,1.0,
49,minicpm,Insightful,All relevant,Clearly follows,Perfect,Strong match,Strong match,2,2.0,All premises linked,All relevant,All counts correct,Minor external,,,
49,nemotron,Insightful,All relevant,Clearly follows,Complete failure,Strong match,Strong match,1,,All premises linked,All relevant,All counts correct,Minor external,,,
51,llava,Insightful,All relevant,Clearly follows,Perfect,Unrelated,Unrelated,2,2.0,All premises linked,All relevant,All counts correct,Strictly visual,,,
51,minicpm,Moderate,Mostly relevant,Mostly follows,Perfect,Conclusion only,Conclusion only,2,0.0,All premises linked,All relevant,All counts correct,Minor external,,,
51,nemotron,Insightful,All relevant,Clearly follows,Complete failure,Strong match,Strong match,1,,All premises linked,All relevant,All counts correct,Strictly visual,,,
52,llava,Insightful,All relevant,Clearly follows,Perfect,Strong match,Strong match,3,3.0,All premises linked,Mostly relevant,All counts correct,Strictly visual,,,
52,minicpm,Moderate,All relevant,Clearly follows,Perfect,Strong match,Strong match,2,2.0,All premises linked,All relevant,All counts correct,Strictly visual,,,
52,nemotron,Insightful,All relevant,Clearly follows,Perfect,Strong match,Strong match,4,4.0,All premises linked,All relevant,All counts correct,Minor external,,,
54,llava,Moderate,Mostly relevant,Clearly follows,Perfect,Strong match,Strong match,1,1.0,All premises linked,All relevant,All counts correct,Strictly visual,,,
54,minicpm,Moderate,All relevant,Clearly follows,Perfect,Strong match,Strong match,2,2.0,All premises linked,All relevant,All counts correct,Strictly visual,,,
54,nemotron,Insightful,All relevant,Clearly follows,Perfect,Strong match,Strong match,4,4.0,All premises linked,All relevant,All counts correct,Strictly visual,,,
55,llava,Insightful,All relevant,Mostly follows,Perfect,Strong match,Strong match,2,3.0,Most premises linked,All relevant,All counts correct,Minor external,,,
55,minicpm,Insightful,All relevant,Clearly follows,Perfect,Strong match,Strong match,2,2.0,All premises linked,All relevant,All counts correct,Strictly visual,,,
55,nemotron,Moderate,Mostly relevant,Clearly follows,Complete failure,Strong match,Strong match,1,,Most premises linked,Mostly relevant,All counts correct,Minor external,,,
58,llava,Moderate,All relevant,Clearly follows,Perfect,Strong match,Strong match,3,3.0,All premises linked,All relevant,All counts correct,Strictly visual,,,
58,minicpm,Moderate,Mostly relevant,Mostly follows,Perfect,Strong match,Strong match,2,1.0,Most premises linked,All relevant,All counts correct,Strictly visual,,,
58,nemotron,Insightful,All relevant,Clearly follows,Perfect,Strong match,Strong match,4,4.0,All premises linked,All relevant,All counts correct,Minor external,,,
64,llava,Moderate,Mostly relevant,Mostly follows,Perfect,Strong match,Strong match,2,2.0,Most premises linked,Mostly relevant,2 or less than 2 counts off,Strictly visual,,1.0,
64,minicpm,Moderate,All relevant,Clearly follows,Perfect,Strong match,Strong match,3,3.0,All premises linked,All relevant,All counts correct,Strictly visual,,,
64,nemotron,Moderate,All relevant,Clearly follows,Complete failure,Strong match,Strong match,1,,All premises linked,All relevant,All counts correct,Strictly visual,,,
66,llava,Paraphrase,Mostly relevant,Clearly follows,Perfect,Conclusion only,Conclusion only,1,1.0,All premises linked,Mostly relevant,All counts correct,Strictly visual,,,
66,minicpm,Insightful,All relevant,Clearly follows,Perfect,Strong match,Strong match,2,2.0,All premises linked,All relevant,All counts correct,Minor external,,,
66,nemotron,Moderate,All relevant,Clearly follows,Complete failure,Strong match,Strong match,1,,All premises linked,All relevant,All counts correct,Strictly visual,,,
67,llava,Moderate,All relevant,Clearly follows,Perfect,Strong match,Strong match,2,2.0,All premises linked,All relevant,All counts correct,Strictly visual,,,
67,minicpm,Insightful,All relevant,Clearly follows,Perfect,Strong match,Strong match,1,1.0,Most premises linked,All relevant,All counts correct,Minor external,,,
67,nemotron,Insightful,All relevant,Mostly follows,Complete failure,Conclusion only,Conclusion only,1,,Some premises orphaned,Partially relevant,All counts correct,Strictly visual,,,
68,llava,Insightful,All relevant,Clearly follows,Perfect,Strong match,Strong match,5,1.0,All premises linked,All relevant,2 or less than 2 counts off,Minor external,,,
68,minicpm,Insightful,All relevant,Clearly follows,Perfect,Strong match,Strong match,2,2.0,All premises linked,All relevant,All counts correct,Minor external,,,
68,nemotron,Moderate,All relevant,Clearly follows,Complete failure,Strong match,Strong match,1,,All premises linked,All relevant,All counts correct,Strictly visual,,,
69,llava,Paraphrase,Partially relevant,Clearly follows,Perfect,Unrelated,Unrelated,2,2.0,Most premises linked,Mostly irrelevant,All counts correct,Strictly visual,,,
69,minicpm,Insightful,All relevant,Clearly follows,Perfect,Strong match,Strong match,2,2.0,All premises linked,All relevant,All counts correct,Strictly visual,,,
69,nemotron,Insightful,All relevant,Clearly follows,Perfect,Strong match,Strong match,4,4.0,All premises linked,All relevant,All counts correct,Strictly visual,,,
70,llava,Moderate,All relevant,Clearly follows,Perfect,Strong match,Strong match,2,1.0,All premises linked,All relevant,All counts correct,Strictly visual,,,
70,minicpm,Moderate,All relevant,Clearly follows,Perfect,Strong match,Strong match,2,2.0,All premises linked,All relevant,All counts correct,Strictly visual,,,
70,nemotron,Moderate,All relevant,Clearly follows,Perfect,Strong match,Strong match,3,1.0,All premises linked,All relevant,All counts correct,Strictly visual,,,
71,llava,Moderate,Mostly relevant,Clearly follows,Perfect,Strong match,Strong match,2,1.0,All premises linked,Mostly relevant,All counts correct,Strictly visual,,,
71,minicpm,Insightful,All relevant,Clearly follows,Perfect,Strong match,Strong match,1,1.0,All premises linked,All relevant,All counts correct,Strictly visual,,,
71,nemotron,Moderate,Mostly relevant,Mostly follows,Perfect,Strong match,Strong match,1,4.0,All premises linked,All relevant,All counts correct,Strictly visual,,,
72,llava,Moderate,All relevant,Mostly follows,Perfect,Strong match,Strong match,2,2.0,Most premises linked,Mostly relevant,2 or less than 2 counts off,Strictly visual,,2.0,
72,minicpm,Insightful,All relevant,Clearly follows,Perfect,Strong match,Strong match,2,2.0,All premises linked,All relevant,All counts correct,Minor external,,,
72,nemotron,Paraphrase,Mostly relevant,Clearly follows,Perfect,Strong match,Strong match,1,2.0,All premises linked,Mostly relevant,All counts correct,Minor external,,,
75,llava,Moderate,All relevant,Clearly follows,Perfect,Strong match,Strong match,4,3.0,All premises linked,All relevant,All counts correct,Strictly visual,,,
75,minicpm,Insightful,All relevant,Clearly follows,Perfect,Strong match,Strong match,2,2.0,All premises linked,All relevant,All counts correct,Strictly visual,,,
75,nemotron,Paraphrase,All relevant,Clearly follows,Perfect,Strong match,Strong match,2,1.0,All premises linked,All relevant,All counts correct,Strictly visual,,,
76,llava,Moderate,Mostly irrelevant,Clearly follows,Perfect,Unrelated,Unrelated,4,4.0,All premises linked,Mostly irrelevant,All counts correct,Strictly visual,,,
76,minicpm,Insightful,All relevant,Clearly follows,Perfect,Strong match,Strong match,2,2.0,All premises linked,All relevant,All counts correct,Strictly visual,,,
76,nemotron,Insightful,All relevant,Clearly follows,Perfect,Strong match,Strong match,4,4.0,All premises linked,All relevant,All counts correct,Strictly visual,,,
77,llava,Moderate,All relevant,Clearly follows,Perfect,Strong match,Strong match,3,3.0,All premises linked,Mostly relevant,All counts correct,Strictly visual,,,
77,minicpm,Moderate,All relevant,Clearly follows,Perfect,Strong match,Strong match,2,1.0,All premises linked,All relevant,All counts correct,Minor external,,,
77,nemotron,Moderate,All relevant,Clearly follows,Perfect,Strong match,Strong match,3,3.0,All premises linked,All relevant,All counts correct,Strictly visual,,,
79,llava,Paraphrase,All relevant,Clearly follows,Perfect,Strong match,Strong match,1,1.0,All premises linked,All relevant,All counts correct,Strictly visual,,,
79,minicpm,Insightful,All relevant,Clearly follows,Perfect,Strong match,Strong match,2,2.0,All premises linked,All relevant,All counts correct,Minor external,,,
79,nemotron,Moderate,All relevant,Clearly follows,Complete failure,Strong match,Strong match,1,,All premises linked,All relevant,All counts correct,Strictly visual,,,
84,llava,Insightful,All relevant,Clearly follows,Perfect,Strong match,Strong match,2,2.0,All premises linked,All relevant,All counts correct,Strictly visual,,,
84,minicpm,Insightful,All relevant,Clearly follows,Perfect,Strong match,Strong match,2,2.0,All premises linked,All relevant,All counts correct,Minor external,,,
84,nemotron,Paraphrase,Mostly relevant,Clearly follows,Complete failure,Conclusion only,Conclusion only,1,,All premises linked,Mostly relevant,All counts correct,Strictly visual,,,
85,llava,Paraphrase,All relevant,Clearly follows,Perfect,Strong match,Strong match,4,4.0,All premises linked,All relevant,All counts correct,Strictly visual,,,
85,minicpm,Insightful,All relevant,Clearly follows,Perfect,Strong match,Strong match,2,1.0,All premises linked,All relevant,All counts correct,Minor external,,,
85,nemotron,Moderate,All relevant,Clearly follows,Complete failure,Strong match,Strong match,1,,All premises linked,All relevant,All counts correct,Strictly visual,,,
86,llava,Moderate,All relevant,Mostly follows,Perfect,Strong match,Strong match,3,2.0,All premises linked,Mostly relevant,2 or less than 2 counts off,Strictly visual,,,
86,minicpm,Moderate,All relevant,Mostly follows,Perfect,Strong match,Strong match,2,2.0,Most premises linked,Mostly relevant,All counts correct,Strictly visual,,,
86,nemotron,Insightful,All relevant,Clearly follows,Perfect,Strong match,Strong match,3,2.0,All premises linked,All relevant,All counts correct,Strictly visual,,,
89,llava,Paraphrase,Mostly relevant,Clearly follows,Perfect,Strong match,Strong match,1,1.0,All premises linked,Mostly relevant,All counts correct,Strictly visual,,,
89,minicpm,Insightful,All relevant,Clearly follows,Perfect,Strong match,Strong match,2,2.0,All premises linked,All relevant,All counts correct,Strictly visual,,,
89,nemotron,Moderate,All relevant,Clearly follows,Complete failure,Strong match,Strong match,1,,All premises linked,All relevant,All counts correct,Some external,,,
91,llava,Moderate,Mostly relevant,Mostly follows,Perfect,Strong match,Strong match,3,3.0,Most premises linked,Mostly relevant,All counts correct,Minor external,,,
91,minicpm,Insightful,All relevant,Clearly follows,Perfect,Strong match,Strong match,2,2.0,All premises linked,All relevant,All counts correct,Minor external,,,
91,nemotron,Moderate,Mostly relevant,Clearly follows,Perfect,Strong match,Strong match,4,4.0,All premises linked,Mostly relevant,All counts correct,Minor external,,,
